Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Conference,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,short,Short,string,ALPHA,existing-code,harness/soak.js,118,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,tier,Tier,string,P4,existing-code,harness/soak.js,118,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,members,Members,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,1242,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Conference,conference,Conference,string,conference,existing-code,app.js,8478,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,division,Division,string,,spec-only,ai-pack/CFB_FM_REMAINING_SYSTEM_SPECS/44_SCHEDULING_CONFERENCES_REALIGNMENT_AND_POSTSEASON_SPEC.md,62,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Conference,minConfSize,Min Conf Size,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/DECISION_LOG.md,155,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Conference,maxMovesPerCycle,Max Moves Per Cycle,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/DECISION_LOG.md,261,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Conference,fromConf,From Conf,string,mwc,existing-code,js/sim/tests/realignment-tests.js,150,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,toConf,To Conf,string,big10,existing-code,js/sim/tests/realignment-tests.js,150,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,programId,Program Id,string,prog.id,existing-code,app.js,7319,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Conference,_id,Id,string,`c${i,existing-code,app.js,8493,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,accessor,Accessor,string,(r) => r[0],existing-code,app.js,8495,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,activeId,Active Id,string,state.tab,existing-code,app.js,8547,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,ALA,Ala,string,0.85,existing-code,js/sim/tests/awards-tests.js,91,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,align,Align,string,center,existing-code,app.js,8495,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,allAmerican,All American,string,[...],existing-code,js/sim/awards/awards-engine.js,156,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,allConference,All Conference,string,{ confId: [{position,existing-code,js/sim/awards/awards-engine.js,156,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,alpha,Alpha,string,[],existing-code,harness/soak.js,135,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Conference,award,Award,string,All-Conference,existing-code,js/sim/tests/alumni-tests.js,61,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
