personId,primaryRoleId,age,reputation,offensivePhilosophyId,defensivePhilosophyId,personalityId,recruitingAbility,playerDevelopment,playCalling,leadership,motivation,discipline,adaptability,scouting,nilInfluence,pipelineStrength,ambition,loyalty,contractYears,salary,buyout
person_000001,head_coach,63,67,Power Spread,Multiple,schemer,62,92,64,73,66,74,60,76,75,77,67,83,2,23496882,14276098
person_000002,offensive_coordinator,40,68,Pistol Option,Nickel,CEO,57,73,67,68,49,63,96,60,69,53,70,65,6,11646758,31696009
person_000003,defensive_coordinator,52,53,Air Raid,4-2-5,hard_nosed,53,66,48,41,51,47,62,80,98,33,70,85,4,3655523,10028830
person_000004,special_teams_coordinator,38,85,Power Run,4-3,detail_oriented,73,98,99,90,84,87,99,97,71,70,94,68,4,25683904,20700820
person_000005,recruiting_coordinator,46,57,Veer & Shoot,Nickel,CEO,41,69,68,46,44,40,72,40,55,53,97,40,3,18216960,28629661
person_000006,qb_coach,52,63,Power Run,Bear Front,players_coach,58,50,63,65,68,72,48,57,93,56,92,78,3,18316875,20627919
person_000007,rb_coach,48,72,Veer & Shoot,Multiple,CEO,49,64,95,86,83,96,80,68,63,64,82,38,1,16458668,22804722
person_000008,wr_coach,37,46,RPO Spread,Bear Front,schemer,33,29,64,56,73,81,54,56,19,34,63,55,4,11277371,13287440
person_000009,ol_coach,38,59,Multiple,4-2-5,CEO,61,69,46,58,40,74,93,69,43,53,46,39,4,10556036,23441294
person_000010,dl_coach,54,71,Spread Option,4-2-5,CEO,84,65,54,73,81,90,66,81,67,85,52,60,2,8155340,25756092
person_000011,lb_coach,66,49,Spread Option,3-3-5,schemer,80,36,59,53,49,51,37,44,69,54,92,81,1,13272536,18992443
person_000012,db_coach,51,60,West Coast,Multiple,CEO,55,62,59,59,50,85,65,46,54,64,84,52,6,18487107,17512111
person_000013,strength_coach,46,53,Power Spread,Multiple,detail_oriented,61,53,48,43,40,91,74,38,59,22,67,94,5,17295389,22111641
person_000014,nil_director,60,69,Pistol Option,4-3,CEO,71,64,58,58,58,96,52,77,64,61,56,75,3,17139991,13966883
person_000120,head_coach,68,55,Spread Option,Quarters Match,players_coach,56,61,52,58,70,94,53,75,68,63,22,68,1,18903281,20526742
person_000121,offensive_coordinator,47,73,Pro Style,3-3-5,hard_nosed,65,79,66,53,55,65,71,96,99,87,52,90,2,12004148,45795249
person_000122,defensive_coordinator,60,75,Multiple,Pressure Multiple,schemer,91,82,58,80,70,65,57,86,96,84,43,78,1,11236968,29309700
person_000123,special_teams_coordinator,39,48,RPO Spread,Tite Front,recruiter,42,13,76,41,37,52,45,46,48,40,58,36,5,7375218,10221923
person_000124,recruiting_coordinator,42,58,Veer & Shoot,Quarters Match,detail_oriented,66,53,37,48,61,57,72,38,54,64,75,55,5,6936846,16992011
person_000125,qb_coach,48,68,Pistol Option,3-3-5,detail_oriented,70,63,56,57,56,77,68,41,84,76,64,63,3,26421711,16105844
person_000126,rb_coach,59,83,Multiple,Bear Front,schemer,60,97,71,85,71,92,74,74,82,77,56,97,6,17086363,57187729
person_000127,wr_coach,56,50,Multiple,Quarters Match,CEO,41,44,96,42,52,99,57,66,65,31,60,61,6,8172954,17741972
person_000128,ol_coach,55,67,Pro Style,Quarters Match,detail_oriented,86,53,48,75,53,67,85,75,63,78,78,48,1,20092441,26061820
person_000129,dl_coach,35,53,Pro Style,Bear Front,CEO,45,45,55,74,49,86,54,74,60,33,61,53,2,12711908,18170595
person_000130,lb_coach,67,70,Veer & Shoot,4-3,detail_oriented,75,90,84,76,66,90,85,58,81,64,60,32,6,29468613,37533232
person_000131,db_coach,41,77,Pistol Option,Pressure Multiple,detail_oriented,85,84,49,99,76,67,66,76,95,88,48,60,2,13911951,27002056
person_000132,strength_coach,43,81,Pro Style,Tite Front,hard_nosed,90,52,85,74,93,61,99,67,82,75,75,78,6,17647375,31163316
person_000133,nil_director,67,86,West Coast,Nickel,schemer,68,95,94,73,76,58,74,81,82,83,70,69,5,18794991,36008593
person_000239,head_coach,62,99,West Coast,Nickel,recruiter,99,95,92,99,99,66,99,99,99,99,67,46,2,29558141,35891063
person_000240,offensive_coordinator,65,84,Power Spread,3-4,CEO,70,98,99,89,66,75,81,82,68,95,60,34,3,29936235,60291623
person_000241,defensive_coordinator,58,87,Pistol Option,Nickel,recruiter,68,77,81,89,77,49,81,71,70,72,25,29,3,14906839,56651810
person_000242,special_teams_coordinator,67,93,Pro Style,Multiple,recruiter,95,94,80,93,69,40,96,99,97,99,74,32,3,46157974,64295640
person_000243,recruiting_coordinator,57,70,Power Run,Bear Front,players_coach,80,65,74,72,38,84,73,70,55,88,58,52,6,23086250,40939598
person_000244,qb_coach,45,85,Spread Option,Tite Front,detail_oriented,99,67,91,82,97,86,75,78,52,78,82,84,3,29520282,21864915
person_000245,rb_coach,47,76,Air Raid,3-4,detail_oriented,71,56,66,91,89,87,60,80,61,62,99,90,3,19135620,17574428
person_000246,wr_coach,67,99,Spread Option,4-2-5,players_coach,91,99,99,99,88,74,99,96,99,99,70,44,1,15979891,32865989
person_000247,ol_coach,51,70,Veer & Shoot,3-3-5,hard_nosed,67,67,66,70,66,60,75,65,61,59,59,56,6,15446336,31666348
person_000248,dl_coach,47,90,Pistol Option,Tite Front,schemer,99,99,82,92,70,85,81,76,77,99,97,85,6,36567979,43083701
person_000249,lb_coach,54,90,Veer & Shoot,4-2-5,schemer,88,99,81,88,99,73,99,95,95,99,61,76,4,14387061,47083663
person_000250,db_coach,35,83,Pro Style,3-3-5,detail_oriented,83,83,99,94,84,86,79,77,60,83,63,73,2,24605396,56764008
