Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
News Event,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,title,Title,string,HC Visit Confirmed,existing-code,app.js,2908,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,body,Body,string,`Head coach personally visited ${prospect.name,existing-code,app.js,2908,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,severity,Severity,string,sev,existing-code,app.js,7288,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,department,Department,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,27,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
News Event,deadline,Deadline,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,507,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
News Event,linked,Linked,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,431,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
News Event,targetView,Target View,string,roster,existing-code,app.js,7586,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,blocking,Blocking,string,Blocking,existing-code,app.js,485,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,resolved,Resolved,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,652,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
News Event,summary,Summary,string,{ realignTotal,existing-code,harness/soak.js,256,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,at,At,string,career && career.advanceCount,existing-code,app.js,6915,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,type,Type,string,null,existing-code,app.js,10314,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,status,Status,string,All,existing-code,app.js,2117,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,message,Message,string,`career.programId '${state.career.programId,existing-code,js/sim/qc/invariants.js,24,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
News Event,action,Action,string,`desk-open:${selected.targetView,existing-code,app.js,8295,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,actions,Actions,string,[],existing-code,app.js,10581,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,actorId,Actor Id,string,T1,existing-code,js/sim/tests/scrapbook-tests.js,62,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,actorName,Actor Name,string,prog.shortName,existing-code,app.js,7289,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,advanceCount,Advance Count,string,0,existing-code,js/sim/persistence/reducers.js,32,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,aggression,Aggression,string,0.5,existing-code,harness/scenarios/registry.js,106,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,att,Att,string,0,existing-code,js/sim/stats/player-stat-accumulator.js,12,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,attr,Attr,string,+1,existing-code,js/sim/dev/dev-engine.js,99,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,attrKey,Attr Key,string,delta,existing-code,js/sim/dev/dev-engine.js,5,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
News Event,attrs,Attrs,string,attrs(),existing-code,js/sim/tests/injury-tests.js,115,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
