Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Game,game id,Game Id,string,,spec-only,ai-pack/CFB_FM_STATS_ENGINE_PACK/CFB_FM_STATS_ENGINE_PACK/01_STATS_ENGINE_NORTH_STAR.md,70,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,week,Week,string,career.advanceCount,existing-code,app.js,3356,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,date,Date,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,359,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,season,Season,string,1,existing-code,js/sim/persistence/reducers.js,32,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,home team,Home Team,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Game,away team,Away Team,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/DECISION_LOG.md,827,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,neutral site,Neutral Site,string,,spec-only,ai-pack/CFB_FM_REMAINING_SYSTEM_SPECS/44_SCHEDULING_CONFERENCES_REALIGNMENT_AND_POSTSEASON_SPEC.md,53,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,stadium,Stadium,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,11,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,weather,Weather,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,973,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,kickoff time,Kickoff Time,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Game,TV/network,Tv/Network,string,,spec-only,ai-pack/college_football_legends_visual_style_guide.md,780,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,spread,Spread,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,2509,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,final score,Final Score,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,518,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,quarter scores,Quarter Scores,string,,spec-only,ai-pack/cfl_ui_asset_manifest_pack/docs/SCREEN_TO_ASSET_BREAKDOWN.md,201,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,status,Status,string,All,existing-code,app.js,2117,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,rivalry,Rivalry,string,rivalry,existing-code,app.js,8593,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,bowl/playoff flag,Bowl/Playoff Flag,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Game,homeScore,Home Score,string,result.ourScore,existing-code,harness/soak.js,69,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,awayScore,Away Score,string,result.oppScore,existing-code,harness/soak.js,69,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,ourScore,Our Score,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Game,oppScore,Opp Score,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Game,drives,Drives,string,drives,existing-code,app.js,8359,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,events,Events,string,[],existing-code,app.js,10582,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,playByPlay,Play By Play,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/DECISION_LOG.md,425,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Game,summary,Summary,string,{ realignTotal,existing-code,harness/soak.js,256,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Game,a,A,string,1,existing-code,js/sim/tests/persist2-tests.js,26,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Game,academyDevelopment,Academy Development,string,14,mock-only,data/demo-world.js,359,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Game,acceleration,Acceleration,string,10,existing-code,app.js,263,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
