personId,recruitingClassYear,primaryPosition,stars,nationalRank,positionRank,stateRank,hometownCity,hometownState,heightInches,weightPounds,archetype,currentAbility,potentialAbility,developmentTrait,academicFit,characterRisk,nilDemand,commitmentStatus
person_016423,2027,OL,2,1,,,Los Angeles,OK,76,305,Deep Threat,57,63,quick,62,medium,512529,uncommitted
person_016424,2027,DL,2,2,,,Phoenix,TX,73,313,Zone Fit,54,65,normal,74,low,520655,uncommitted
person_016425,2027,OL,4,3,,,Atlanta,PA,78,317,Hybrid,78,94,elite,88,medium,425631,uncommitted
person_016426,2027,DL,3,4,,,Baton Rouge,PA,73,295,Mauler,58,74,quick,74,low,805102,uncommitted
person_016427,2027,S,4,5,,,Baton Rouge,VA,71,195,Run Stopper,80,99,quick,57,high,2023244,uncommitted
person_016428,2027,DL,2,6,,,Detroit,LA,78,313,Deep Threat,57,65,elite,55,medium,314250,uncommitted
person_016429,2027,WR,2,7,,,Atlanta,MS,69,206,Field General,48,69,impact,75,low,293652,uncommitted
person_016430,2027,RB,3,8,,,Los Angeles,FL,73,230,Mauler,69,86,quick,99,low,281639,uncommitted
person_016431,2027,CB,2,9,,,Miami,NJ,73,188,Field General,48,59,elite,87,low,494566,uncommitted
person_016432,2027,EDGE,2,10,,,Baton Rouge,FL,78,273,Deep Threat,52,72,normal,77,low,496158,uncommitted
person_016433,2027,ATH,2,11,,,Detroit,IL,77,210,Zone Fit,49,64,impact,64,low,365685,uncommitted
person_016434,2027,CB,3,12,,,Baton Rouge,OK,69,200,Speed Back,67,72,elite,51,low,760113,uncommitted
person_016435,2027,TE,3,13,,,Miami,LA,76,260,Possession,62,74,impact,79,low,1621774,uncommitted
person_016436,2027,RB,3,14,,,Los Angeles,LA,72,199,Zone Fit,59,68,quick,78,medium,937660,uncommitted
person_016437,2027,LS,2,15,,,Miami,NC,73,231,Coverage,57,63,normal,79,high,201817,uncommitted
person_016438,2027,S,5,16,,,Atlanta,GA,74,204,Deep Threat,91,99,quick,88,high,5165970,uncommitted
person_016439,2027,LB,3,17,,,Jacksonville,AL,77,240,Zone Fit,65,87,normal,60,high,1123098,uncommitted
person_016440,2027,ATH,3,18,,,Jacksonville,TN,72,234,Dual Threat,58,63,normal,61,low,1283949,uncommitted
person_016441,2027,EDGE,3,19,,,Tampa,VA,74,279,Edge Rusher,67,88,normal,91,low,1432675,uncommitted
person_016442,2027,LS,3,20,,,Los Angeles,GA,75,235,Dual Threat,67,89,elite,62,low,927307,uncommitted
person_016443,2027,TE,3,21,,,Atlanta,TX,77,236,Dual Threat,63,73,normal,92,low,1608514,uncommitted
person_016444,2027,DL,3,22,,,Dallas,AL,73,325,Power Back,61,79,normal,72,medium,838340,uncommitted
person_016445,2027,TE,2,23,,,Oklahoma City,VA,78,243,Field General,54,76,normal,65,low,296718,uncommitted
person_016446,2027,P,3,24,,,Phoenix,MS,73,200,Run Stopper,60,69,quick,69,low,1299284,uncommitted
person_016447,2027,EDGE,4,25,,,Detroit,GA,76,240,Run Stopper,81,99,normal,85,low,3965953,uncommitted
person_016448,2027,DL,3,26,,,Tampa,TX,79,277,Edge Rusher,60,74,impact,64,medium,1381964,uncommitted
person_016449,2027,LB,2,27,,,Phoenix,LA,73,239,Coverage,48,55,quick,82,low,529042,uncommitted
person_016450,2027,WR,2,28,,,Los Angeles,FL,71,184,Field General,56,78,impact,80,low,431533,uncommitted
person_016451,2027,CB,2,29,,,Oklahoma City,TN,72,177,Field General,48,65,quick,57,low,526928,uncommitted
person_016452,2027,DL,3,30,,,Cleveland,PA,79,279,Edge Rusher,59,65,normal,66,medium,1231336,uncommitted
person_016453,2027,CB,3,31,,,Jacksonville,FL,70,193,Power Back,62,74,quick,63,low,596099,uncommitted
person_016454,2027,LS,3,32,,,Miami,SC,76,260,Hybrid,61,67,quick,52,low,737962,uncommitted
person_016455,2027,OL,3,33,,,Dallas,OH,77,333,Run Stopper,58,69,elite,66,low,1008551,uncommitted
person_016456,2027,OL,2,34,,,New Orleans,MS,78,314,Possession,54,70,impact,99,low,241478,uncommitted
