Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Staff,recruiting coordinator,Recruiting Coordinator,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,530,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,strength coach,Strength Coach,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,507,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,trainer,Trainer,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,115,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,academic advisor,Academic Advisor,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,533,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,NIL director,Nil Director,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Staff,scout,Scout,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,877,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,analyst,Analyst,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,104,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,coordinator,Coordinator,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,898,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,position coach,Position Coach,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,897,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,operations director,Operations Director,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,126,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,confidence,Confidence,string,0..1,existing-code,js/sim/matchup/matchup.js,10,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Staff,notes,Notes,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,25,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,role,Role,string,Recruiting Coordinator,existing-code,app.js,2898,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Staff,department,Department,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,27,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Staff,status,Status,string,statusText,existing-code,app.js,6770,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Staff,_id,Id,string,`op${i,existing-code,app.js,6819,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,Aaron,Aaron,string,Aaron,existing-code,js/sim/staff/coaching-carousel.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,academyDevelopment,Academy Development,string,14,mock-only,data/demo-world.js,359,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,accessor,Accessor,string,"(r) => r.flipRisk || r.risk || ""—",existing-code,app.js,6085,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,action,Action,string,`desk-open:${selected.targetView,existing-code,js/ui/helpers/desk-workspace.js,58,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,activeId,Active Id,string,state.tab,existing-code,app.js,6397,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,adaptability,Adaptability,string,adaptability,existing-code,js/sim/staff/coaching-carousel.js,42,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Staff,advantage,Advantage,string,-100..100,existing-code,js/sim/matchup/matchup.js,10,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
