personId,traitId,traitName,category,polarity,strength
person_000015,poor_discipline,Poor Discipline,personality,positive,5
person_000016,film_junkie,Film Junkie,personality,positive,2
person_000016,competitor,Competitor,personality,negative,3
person_000017,film_junkie,Film Junkie,personality,positive,1
person_000018,competitor,Competitor,personality,negative,5
person_000018,injury_prone,Injury Prone,physical/availability,positive,2
person_000018,slow_learner,Slow Learner,personality,positive,2
person_000019,injury_prone,Injury Prone,physical/availability,negative,1
person_000019,transfer_risk,Transfer Risk,personality,negative,1
person_000019,competitor,Competitor,personality,positive,5
person_000020,loyal,Loyal,personality,negative,3
person_000020,poor_practice_habits,Poor Practice Habits,personality,negative,3
person_000020,competitor,Competitor,personality,negative,5
person_000021,nil_driven,Nil Driven,personality,positive,2
person_000022,poor_practice_habits,Poor Practice Habits,personality,positive,3
person_000022,high_motor,High Motor,physical/availability,mixed,2
person_000023,volatile_confidence,Volatile Confidence,personality,negative,1
person_000023,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000023,injury_prone,Injury Prone,physical/availability,mixed,5
person_000024,coachable,Coachable,personality,mixed,5
person_000025,slow_learner,Slow Learner,personality,negative,2
person_000026,poor_practice_habits,Poor Practice Habits,personality,negative,3
person_000026,loyal,Loyal,personality,positive,5
person_000026,raw_athlete,Raw Athlete,physical/availability,mixed,2
person_000027,injury_prone,Injury Prone,physical/availability,mixed,3
person_000027,raw_athlete,Raw Athlete,physical/availability,mixed,5
person_000027,poor_discipline,Poor Discipline,personality,mixed,4
person_000028,nil_driven,Nil Driven,personality,positive,3
person_000028,locker_room_leader,Locker Room Leader,personality,mixed,2
person_000029,locker_room_leader,Locker Room Leader,personality,positive,4
person_000029,transfer_risk,Transfer Risk,personality,negative,2
person_000030,locker_room_leader,Locker Room Leader,personality,mixed,2
person_000030,poor_discipline,Poor Discipline,personality,negative,1
person_000030,slow_learner,Slow Learner,personality,positive,4
person_000031,injury_prone,Injury Prone,physical/availability,negative,4
person_000031,clutch,Clutch,personality,mixed,2
person_000032,volatile_confidence,Volatile Confidence,personality,negative,4
person_000033,loyal,Loyal,personality,mixed,4
person_000033,competitor,Competitor,personality,negative,3
person_000034,competitor,Competitor,personality,mixed,1
person_000034,high_motor,High Motor,physical/availability,positive,5
person_000035,high_football_iq,High Football Iq,personality,positive,2
person_000035,coachable,Coachable,personality,positive,3
person_000036,film_junkie,Film Junkie,personality,negative,4
person_000036,raw_athlete,Raw Athlete,physical/availability,negative,1
person_000036,poor_practice_habits,Poor Practice Habits,personality,positive,2
person_000037,loyal,Loyal,personality,positive,5
person_000038,slow_learner,Slow Learner,personality,mixed,2
person_000038,loyal,Loyal,personality,mixed,4
person_000038,high_motor,High Motor,physical/availability,positive,5
person_000039,big_game_performer,Big Game Performer,personality,negative,4
person_000040,nil_driven,Nil Driven,personality,positive,1
person_000040,loyal,Loyal,personality,positive,4
person_000040,coachable,Coachable,personality,positive,2
person_000041,poor_practice_habits,Poor Practice Habits,personality,negative,4
person_000041,injury_prone,Injury Prone,physical/availability,mixed,1
person_000041,poor_discipline,Poor Discipline,personality,mixed,3
person_000042,raw_athlete,Raw Athlete,physical/availability,positive,5
person_000042,poor_discipline,Poor Discipline,personality,positive,3
person_000043,injury_prone,Injury Prone,physical/availability,mixed,3
person_000043,big_game_performer,Big Game Performer,personality,negative,3
person_000044,slow_learner,Slow Learner,personality,positive,2
person_000044,locker_room_leader,Locker Room Leader,personality,negative,3
person_000045,poor_discipline,Poor Discipline,personality,mixed,4
person_000046,nil_driven,Nil Driven,personality,negative,2
person_000047,nil_driven,Nil Driven,personality,mixed,5
person_000047,volatile_confidence,Volatile Confidence,personality,positive,4
person_000047,coachable,Coachable,personality,mixed,5
person_000048,locker_room_leader,Locker Room Leader,personality,negative,2
person_000048,coachable,Coachable,personality,positive,5
person_000049,coachable,Coachable,personality,mixed,2
person_000050,transfer_risk,Transfer Risk,personality,positive,1
person_000050,poor_practice_habits,Poor Practice Habits,personality,negative,3
person_000050,clutch,Clutch,personality,mixed,1
person_000051,locker_room_leader,Locker Room Leader,personality,mixed,4
person_000052,volatile_confidence,Volatile Confidence,personality,negative,2
person_000053,poor_practice_habits,Poor Practice Habits,personality,positive,4
person_000054,transfer_risk,Transfer Risk,personality,positive,1
person_000055,coachable,Coachable,personality,negative,5
person_000056,loyal,Loyal,personality,mixed,3
person_000057,slow_learner,Slow Learner,personality,mixed,3
person_000057,coachable,Coachable,personality,negative,2
person_000058,high_football_iq,High Football Iq,personality,negative,1
person_000058,coachable,Coachable,personality,negative,4
person_000058,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000059,loyal,Loyal,personality,negative,4
person_000059,film_junkie,Film Junkie,personality,positive,1
person_000059,coachable,Coachable,personality,mixed,3
person_000060,raw_athlete,Raw Athlete,physical/availability,mixed,3
person_000060,volatile_confidence,Volatile Confidence,personality,mixed,3
person_000061,clutch,Clutch,personality,positive,2
person_000061,poor_practice_habits,Poor Practice Habits,personality,negative,2
person_000062,slow_learner,Slow Learner,personality,negative,2
person_000062,competitor,Competitor,personality,mixed,1
person_000062,big_game_performer,Big Game Performer,personality,positive,3
person_000063,high_motor,High Motor,physical/availability,negative,4
