Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Player Development,developmentFocus,Development Focus,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/32_AI_SCHOOL_PROGRAM_MANAGER_SPEC.md,54,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,potential,Potential,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,89,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,development speed,Development Speed,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,2289,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,work ethic,Work Ethic,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,32,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,practice habits,Practice Habits,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,599,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,coachability,Coachability,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,33,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,learning speed,Learning Speed,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player Development,training load,Training Load,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player Development,redshirt plan,Redshirt Plan,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,669,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,fatigue,Fatigue,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1267,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,injuryProneness,Injury Proneness,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player Development,consistency,Consistency,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,146,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,importantGames,Important Games,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player Development,professionalism,Professionalism,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1004,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Development,determination,Determination,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
