Issue,Entity,Field,Source File,Why It Matters,Suggested Resolution,Priority,Approval Status
Field appears across multiple source statuses,Coach,academydevelopment,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,adaptability,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,ambition,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js; js/sim/tests/m18-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,budgetcontrol,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,composure,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,dataanalysis,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,decisionmaking,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,defensivestrategy,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,determination,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,discipline,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js; js/sim/stats/stat-taxonomy.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
