asset_id,file_name,category,screen_family,description,recommended_format,base_size,static_dynamic,priority,states_variants,dynamic_slots,notes
A001,game_logo_full_light.svg,branding,global,"Full College Football Legends logo, light/white version",SVG,display 240-340w,static,P0,,,Vector preferred.
A002,game_logo_full_gold.svg,branding,global,Full logo gold/prestige version,SVG,display 240-340w,static,P0,,,Use on premium/signing screens.
A003,game_logo_compact_light.svg,branding,global,Compact mark for tight headers,SVG,display 120-180w,static,P0,,,
A004,game_logo_sidebar.svg,branding,global,Sidebar logo lockup,SVG,display 140-220w,static,P0,,,
A005,bg_app_texture_dark_tile_512x512.webp,background,global,Subtle dark reusable app background texture tile,WebP,512x512,static,P0,,,Tileable; very subtle.
A006,shell_header_bg_neutral_1920x120.png,shell,global,Neutral dark top header background,PNG or CSS,1920x120,hybrid,P0,neutral/team/gold,team tint optional,Prefer CSS if possible.
A007,shell_sidebar_bg_256x1080.png,shell,global,Left sidebar dark background,PNG or CSS,256x1080,hybrid,P0,,active nav color,Can be CSS gradient.
A008,shell_footer_ticker_bg_1920x48.png,shell,global,Bottom ticker/controller hint strip,PNG or CSS,1920x48,hybrid,P0,ticker/controller,ticker text,
A009,panel_standard_bg_640x360.png,panel,global,Standard scalable panel/card skin,9-slice PNG or CSS,640x360,hybrid,P0,standard/selected/disabled,content data,Prefer 9-slice/CSS.
A010,panel_summary_bg_420x220.png,panel,global,Medium summary card skin,9-slice PNG or CSS,420x220,hybrid,P0,normal/highlighted,content data,
A011,panel_detail_right_420x760.png,panel,global,Right detail panel skin,9-slice PNG or CSS,420x760,hybrid,P0,normal/selected,profile data,
A012,panel_table_bg_1280x720.png,panel,global,Large table container background,9-slice PNG or CSS,1280x720,hybrid,P0,,table data,
A013,divider_horizontal_subtle_1024x2.png,divider,global,Subtle horizontal divider,PNG/SVG/CSS,1024x2,static,P0,subtle/gold/team,,
A014,accent_corner_tl.svg,accent,global,Decorative panel corner bracket,SVG,scalable,static,P1,tl/tr/bl/br,,
A015,btn_primary_team_idle_260x48.png,button,global,Primary CTA button skin,9-slice PNG or CSS,260x48,hybrid,P0,idle/hover/pressed/disabled,button label,Prefer tintable.
A016,btn_primary_gold_idle_260x48.png,button,global,Gold CTA button skin,9-slice PNG or CSS,260x48,hybrid,P0,idle/hover/pressed,button label,
A017,icon_family_core.svg,icons,global,SVG icon family: nav/features/actions,SVG,16/20/24/32/48,static,P0,inactive/active maybe via CSS,color token,Use separate SVGs or symbol sprite.
A018,rating_ring_frame.svg,widget,global,Circular rating/progress ring frame,SVG,96x96 scalable,hybrid,P0,ovr/off/def/st,"value, progress, color",Progress arc should be code-rendered.
A019,star_full_gold.svg,widget,global,Gold full star icon,SVG,20x20,static,P0,full/half/empty,,
