rosterMembershipId,programId,personId,seasonYear,rosterSlot,scholarshipStatus,scholarshipEquivalency,activeRoster,positionGroup
roster_program_boston_college_001,program_boston_college,person_000015,2026,1,scholarship,1.0,True,QB
roster_program_boston_college_002,program_boston_college,person_000016,2026,2,scholarship,1.0,True,QB
roster_program_boston_college_003,program_boston_college,person_000017,2026,3,scholarship,1.0,True,QB
roster_program_boston_college_004,program_boston_college,person_000018,2026,4,scholarship,1.0,True,QB
roster_program_boston_college_005,program_boston_college,person_000019,2026,5,scholarship,1.0,True,QB
roster_program_boston_college_006,program_boston_college,person_000020,2026,6,scholarship,1.0,True,RB
roster_program_boston_college_007,program_boston_college,person_000021,2026,7,scholarship,1.0,True,RB
roster_program_boston_college_008,program_boston_college,person_000022,2026,8,scholarship,1.0,True,RB
roster_program_boston_college_009,program_boston_college,person_000023,2026,9,scholarship,1.0,True,RB
roster_program_boston_college_010,program_boston_college,person_000024,2026,10,scholarship,1.0,True,RB
roster_program_boston_college_011,program_boston_college,person_000025,2026,11,scholarship,1.0,True,RB
roster_program_boston_college_012,program_boston_college,person_000026,2026,12,scholarship,1.0,True,RB
roster_program_boston_college_013,program_boston_college,person_000027,2026,13,scholarship,1.0,True,WR
roster_program_boston_college_014,program_boston_college,person_000028,2026,14,scholarship,1.0,True,WR
roster_program_boston_college_015,program_boston_college,person_000029,2026,15,scholarship,1.0,True,WR
roster_program_boston_college_016,program_boston_college,person_000030,2026,16,scholarship,1.0,True,WR
roster_program_boston_college_017,program_boston_college,person_000031,2026,17,scholarship,1.0,True,WR
roster_program_boston_college_018,program_boston_college,person_000032,2026,18,scholarship,1.0,True,WR
roster_program_boston_college_019,program_boston_college,person_000033,2026,19,scholarship,1.0,True,WR
roster_program_boston_college_020,program_boston_college,person_000034,2026,20,scholarship,1.0,True,WR
roster_program_boston_college_021,program_boston_college,person_000035,2026,21,scholarship,1.0,True,WR
roster_program_boston_college_022,program_boston_college,person_000036,2026,22,scholarship,1.0,True,WR
roster_program_boston_college_023,program_boston_college,person_000037,2026,23,scholarship,1.0,True,WR
roster_program_boston_college_024,program_boston_college,person_000038,2026,24,scholarship,1.0,True,WR
roster_program_boston_college_025,program_boston_college,person_000039,2026,25,scholarship,1.0,True,WR
roster_program_boston_college_026,program_boston_college,person_000040,2026,26,scholarship,1.0,True,WR
roster_program_boston_college_027,program_boston_college,person_000041,2026,27,scholarship,1.0,True,TE
roster_program_boston_college_028,program_boston_college,person_000042,2026,28,scholarship,1.0,True,TE
roster_program_boston_college_029,program_boston_college,person_000043,2026,29,scholarship,1.0,True,TE
roster_program_boston_college_030,program_boston_college,person_000044,2026,30,scholarship,1.0,True,TE
roster_program_boston_college_031,program_boston_college,person_000045,2026,31,scholarship,1.0,True,TE
roster_program_boston_college_032,program_boston_college,person_000046,2026,32,scholarship,1.0,True,TE
roster_program_boston_college_033,program_boston_college,person_000047,2026,33,scholarship,1.0,True,OL
roster_program_boston_college_034,program_boston_college,person_000048,2026,34,scholarship,1.0,True,OL
roster_program_boston_college_035,program_boston_college,person_000049,2026,35,scholarship,1.0,True,OL
roster_program_boston_college_036,program_boston_college,person_000050,2026,36,scholarship,1.0,True,OL
roster_program_boston_college_037,program_boston_college,person_000051,2026,37,scholarship,1.0,True,OL
roster_program_boston_college_038,program_boston_college,person_000052,2026,38,scholarship,1.0,True,OL
roster_program_boston_college_039,program_boston_college,person_000053,2026,39,scholarship,1.0,True,OL
roster_program_boston_college_040,program_boston_college,person_000054,2026,40,scholarship,1.0,True,OL
roster_program_boston_college_041,program_boston_college,person_000055,2026,41,scholarship,1.0,True,OL
roster_program_boston_college_042,program_boston_college,person_000056,2026,42,scholarship,1.0,True,OL
roster_program_boston_college_043,program_boston_college,person_000057,2026,43,scholarship,1.0,True,OL
roster_program_boston_college_044,program_boston_college,person_000058,2026,44,scholarship,1.0,True,OL
roster_program_boston_college_045,program_boston_college,person_000059,2026,45,scholarship,1.0,True,OL
roster_program_boston_college_046,program_boston_college,person_000060,2026,46,scholarship,1.0,True,OL
roster_program_boston_college_047,program_boston_college,person_000061,2026,47,scholarship,1.0,True,OL
roster_program_boston_college_048,program_boston_college,person_000062,2026,48,scholarship,1.0,True,OL
roster_program_boston_college_049,program_boston_college,person_000063,2026,49,scholarship,1.0,True,OL
roster_program_boston_college_050,program_boston_college,person_000064,2026,50,scholarship,1.0,True,OL
roster_program_boston_college_051,program_boston_college,person_000065,2026,51,scholarship,1.0,True,DL
roster_program_boston_college_052,program_boston_college,person_000066,2026,52,scholarship,1.0,True,DL
roster_program_boston_college_053,program_boston_college,person_000067,2026,53,scholarship,1.0,True,DL
roster_program_boston_college_054,program_boston_college,person_000068,2026,54,scholarship,1.0,True,DL
roster_program_boston_college_055,program_boston_college,person_000069,2026,55,scholarship,1.0,True,DL
roster_program_boston_college_056,program_boston_college,person_000070,2026,56,scholarship,1.0,True,DL
roster_program_boston_college_057,program_boston_college,person_000071,2026,57,scholarship,1.0,True,DL
roster_program_boston_college_058,program_boston_college,person_000072,2026,58,scholarship,1.0,True,DL
roster_program_boston_college_059,program_boston_college,person_000073,2026,59,scholarship,1.0,True,DL
roster_program_boston_college_060,program_boston_college,person_000074,2026,60,scholarship,1.0,True,DL
roster_program_boston_college_061,program_boston_college,person_000075,2026,61,scholarship,1.0,True,EDGE
roster_program_boston_college_062,program_boston_college,person_000076,2026,62,scholarship,1.0,True,EDGE
roster_program_boston_college_063,program_boston_college,person_000077,2026,63,scholarship,1.0,True,EDGE
roster_program_boston_college_064,program_boston_college,person_000078,2026,64,scholarship,1.0,True,EDGE
roster_program_boston_college_065,program_boston_college,person_000079,2026,65,scholarship,1.0,True,EDGE
roster_program_boston_college_066,program_boston_college,person_000080,2026,66,scholarship,1.0,True,EDGE
roster_program_boston_college_067,program_boston_college,person_000081,2026,67,scholarship,1.0,True,EDGE
roster_program_boston_college_068,program_boston_college,person_000082,2026,68,scholarship,1.0,True,LB
roster_program_boston_college_069,program_boston_college,person_000083,2026,69,scholarship,1.0,True,LB
roster_program_boston_college_070,program_boston_college,person_000084,2026,70,scholarship,1.0,True,LB
roster_program_boston_college_071,program_boston_college,person_000085,2026,71,scholarship,1.0,True,LB
roster_program_boston_college_072,program_boston_college,person_000086,2026,72,scholarship,1.0,True,LB
roster_program_boston_college_073,program_boston_college,person_000087,2026,73,scholarship,1.0,True,LB
roster_program_boston_college_074,program_boston_college,person_000088,2026,74,scholarship,1.0,True,LB
roster_program_boston_college_075,program_boston_college,person_000089,2026,75,scholarship,1.0,True,LB
roster_program_boston_college_076,program_boston_college,person_000090,2026,76,scholarship,1.0,True,LB
roster_program_boston_college_077,program_boston_college,person_000091,2026,77,scholarship,1.0,True,LB
roster_program_boston_college_078,program_boston_college,person_000092,2026,78,scholarship,1.0,True,LB
roster_program_boston_college_079,program_boston_college,person_000093,2026,79,scholarship,1.0,True,CB
roster_program_boston_college_080,program_boston_college,person_000094,2026,80,scholarship,1.0,True,CB
roster_program_boston_college_081,program_boston_college,person_000095,2026,81,scholarship,1.0,True,CB
roster_program_boston_college_082,program_boston_college,person_000096,2026,82,scholarship,1.0,True,CB
roster_program_boston_college_083,program_boston_college,person_000097,2026,83,scholarship,1.0,True,CB
roster_program_boston_college_084,program_boston_college,person_000098,2026,84,scholarship,1.0,True,CB
roster_program_boston_college_085,program_boston_college,person_000099,2026,85,scholarship,1.0,True,CB
roster_program_boston_college_086,program_boston_college,person_000100,2026,86,scholarship,1.0,True,CB
roster_program_boston_college_087,program_boston_college,person_000101,2026,87,scholarship,1.0,True,CB
roster_program_boston_college_088,program_boston_college,person_000102,2026,88,scholarship,1.0,True,S
roster_program_boston_college_089,program_boston_college,person_000103,2026,89,scholarship,1.0,True,S
roster_program_boston_college_090,program_boston_college,person_000104,2026,90,scholarship,1.0,True,S
roster_program_boston_college_091,program_boston_college,person_000105,2026,91,scholarship,1.0,True,S
roster_program_boston_college_092,program_boston_college,person_000106,2026,92,scholarship,1.0,True,S
roster_program_boston_college_093,program_boston_college,person_000107,2026,93,scholarship,1.0,True,S
roster_program_boston_college_094,program_boston_college,person_000108,2026,94,scholarship,1.0,True,S
roster_program_boston_college_095,program_boston_college,person_000109,2026,95,scholarship,1.0,True,K
roster_program_boston_college_096,program_boston_college,person_000110,2026,96,scholarship,1.0,True,K
roster_program_boston_college_097,program_boston_college,person_000111,2026,97,scholarship,1.0,True,P
