overall,currentAbility,potentialAbility,speed,acceleration,strength,agility,stamina,injuryResistance,leadership,workEthic,discipline,footballIQ,consistency,clutch,ballSecurity,morale,confidence,armStrength,shortAccuracy,intermediateAccuracy,deepAccuracy,timing,anticipation,pocketMovement,pressureResponse,preSnapId,postSnapProcessing,rpoRead,optionMesh,progressionDiscipline,scrambleInstinct,vision,burst,contactBalance,patience,oneCutAbility,gapDiscipline,receiving,passProtection,release,routeRunning,leverageUnderstanding,hands,contestedCatch,yac,blocking,optionRouteIntelligence,verticalSpeed,spacingDiscipline,redZoneFeel,runBlockPower,zoneFootwork,comboTiming,reachBlock,pullAbility,passSet,anchor,blitzPickup,stuntRecognition,communication,penaltyDiscipline,getOff,bend,handUsage,gapDisciplineDefense,blockDestruction,passRushPlan,containDiscipline,motor,runFitStrength,runFit,blockShed,pursuitAngle,tackling,zoneDrop,manCoverage,blitzTiming,playRecognition,eyeDiscipline,rpoDiscipline,zoneCoverage,matchCoverage,press,offTechnique,ballSkills,runSupport,routeRecognition,recoverySpeed,kickPower,kickAccuracy,puntPower,puntAccuracy,longSnapping,returnVision,personId,seasonYear,position
87,85,94,79,64,69,78,99,63,70,42,38,78,64,66,93,78,70,85,82,99,99,82,86,87,85,77,75,82,71,88,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000015,2026,QB
70,71,76,76,71,90,66,73,72,69,82,83,92,82,66,74,66,86,65,73,57,76,64,74,59,85,78,46,67,54,69,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000016,2026,QB
87,88,93,98,86,86,70,72,69,78,91,65,89,97,86,86,48,57,79,79,79,76,67,89,99,96,73,67,91,98,91,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000017,2026,QB
70,77,86,87,83,68,75,71,57,54,84,50,73,75,76,74,49,74,69,60,50,75,54,53,87,58,66,71,71,60,63,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000018,2026,QB
80,78,82,88,85,83,69,62,75,69,89,55,70,60,79,84,68,70,91,57,82,86,87,83,67,70,82,69,73,60,63,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000019,2026,QB
74,64,78,84,53,66,66,60,69,86,99,47,42,65,49,66,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,69,73,77,92,64,80,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,person_000020,2026,RB
55,53,63,57,46,73,64,63,77,37,53,70,60,74,66,56,88,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70,71,61,65,61,69,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,person_000021,2026,RB
86,89,99,74,62,77,78,94,61,95,57,68,77,50,40,82,68,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,74,87,94,72,62,93,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,person_000022,2026,RB
97,98,99,99,68,72,90,99,55,90,78,85,57,70,44,86,61,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,92,98,99,99,95,78,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,person_000023,2026,RB
71,68,73,75,58,67,56,68,60,51,36,78,77,49,77,65,74,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,83,66,70,59,64,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,person_000024,2026,RB
80,85,96,75,87,68,77,88,72,68,62,42,68,73,44,74,67,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,88,71,89,82,86,81,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,person_000025,2026,RB
91,87,99,54,91,99,74,60,72,99,64,71,99,90,73,74,71,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,87,83,99,87,74,93,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,person_000026,2026,RB
84,92,91,92,85,87,81,90,83,75,57,65,77,67,68,84,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,94,89,83,87,79,79,97,90,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000027,2026,WR
64,63,72,58,73,67,51,38,54,52,75,92,63,49,37,59,62,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,79,68,58,59,46,70,67,64,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000028,2026,WR
78,78,95,67,79,83,74,88,71,80,45,64,85,75,44,74,41,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,94,82,65,82,66,86,97,71,81,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000029,2026,WR
76,72,96,99,83,78,85,78,71,81,71,71,92,70,49,66,86,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,79,73,78,89,73,77,85,74,78,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000030,2026,WR
73,70,72,71,77,80,87,84,74,72,74,51,62,58,72,76,87,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,58,70,70,62,60,73,67,75,99,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000031,2026,WR
82,77,93,96,79,73,84,99,73,81,59,64,60,53,62,65,65,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,73,92,88,87,96,87,93,94,82,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000032,2026,WR
62,72,75,69,73,70,60,65,71,80,78,89,37,52,48,60,67,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,63,56,80,77,55,62,59,56,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000033,2026,WR
73,71,87,56,63,81,77,74,78,78,63,68,81,50,57,71,74,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,49,72,65,52,82,78,88,74,57,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000034,2026,WR
75,81,92,92,79,92,63,86,71,64,75,82,65,58,82,80,69,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,86,76,78,72,85,83,89,70,66,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000035,2026,WR
72,72,72,62,51,49,86,60,68,77,74,64,58,33,72,84,78,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,65,72,63,88,47,86,52,67,77,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000036,2026,WR
84,91,96,81,81,80,61,99,57,71,72,79,99,96,76,78,57,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,94,90,65,78,99,79,83,99,83,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person_000037,2026,WR
