personId,programId,seasonYear,estimatedNilValue,nilStatus,marketability,socialFollowing
person_000015,program_boston_college,2026,4179983,collective_deal,60,264565
person_000016,program_boston_college,2026,1184724,collective_deal,85,57348
person_000017,program_boston_college,2026,1036382,collective_deal,81,214551
person_000018,program_boston_college,2026,2144074,collective_deal,65,51557
person_000019,program_boston_college,2026,2865050,pending,68,187943
person_000020,program_boston_college,2026,2220844,national_brand,63,180781
person_000021,program_boston_college,2026,4311,national_brand,50,131580
person_000022,program_boston_college,2026,4721669,none,71,155491
person_000023,program_boston_college,2026,2947214,none,63,130705
person_000024,program_boston_college,2026,91676,local_deal,64,22920
person_000025,program_boston_college,2026,1125632,local_deal,97,280092
person_000026,program_boston_college,2026,1652429,pending,74,180303
person_000027,program_boston_college,2026,4405753,national_brand,83,219226
person_000028,program_boston_college,2026,429772,local_deal,88,176775
person_000029,program_boston_college,2026,2244253,pending,52,246835
person_000030,program_boston_college,2026,2995988,none,30,139596
person_000031,program_boston_college,2026,995067,none,46,132051
person_000032,program_boston_college,2026,3131205,pending,61,22896
person_000033,program_boston_college,2026,1659697,pending,44,106615
person_000034,program_boston_college,2026,3469858,national_brand,88,88709
person_000035,program_boston_college,2026,685428,none,84,36597
person_000036,program_boston_college,2026,3352778,collective_deal,62,45065
person_000037,program_boston_college,2026,2681835,none,99,70719
person_000038,program_boston_college,2026,5083800,national_brand,81,460821
person_000039,program_boston_college,2026,2302446,pending,47,139121
person_000040,program_boston_college,2026,3434634,pending,64,209827
person_000041,program_boston_college,2026,5571,local_deal,64,5592
person_000042,program_boston_college,2026,2727635,collective_deal,68,28765
person_000043,program_boston_college,2026,2517116,none,97,66400
person_000044,program_boston_college,2026,3319368,national_brand,84,89092
person_000045,program_boston_college,2026,4122778,none,80,49060
person_000046,program_boston_college,2026,480233,none,63,199129
person_000047,program_boston_college,2026,3204300,pending,80,186299
person_000048,program_boston_college,2026,2611426,collective_deal,81,207472
person_000049,program_boston_college,2026,2802598,collective_deal,72,57283
person_000050,program_boston_college,2026,3352532,local_deal,70,15208
person_000051,program_boston_college,2026,420133,pending,80,235007
person_000052,program_boston_college,2026,1527921,none,70,57632
person_000053,program_boston_college,2026,2946360,local_deal,69,280204
person_000054,program_boston_college,2026,3640551,national_brand,51,71625
person_000055,program_boston_college,2026,223839,national_brand,78,167398
person_000056,program_boston_college,2026,1865942,national_brand,69,92877
person_000057,program_boston_college,2026,4135549,collective_deal,93,61772
person_000058,program_boston_college,2026,3545906,none,72,312133
person_000059,program_boston_college,2026,2697952,pending,98,213386
person_000060,program_boston_college,2026,383136,collective_deal,44,207367
person_000061,program_boston_college,2026,2591558,collective_deal,69,38058
person_000062,program_boston_college,2026,2993405,national_brand,69,28442
person_000063,program_boston_college,2026,1486797,pending,64,217391
person_000064,program_boston_college,2026,2337349,national_brand,60,167725
person_000065,program_boston_college,2026,1472087,collective_deal,72,198664
person_000066,program_boston_college,2026,3284681,collective_deal,82,269293
person_000067,program_boston_college,2026,7179,national_brand,71,146888
person_000068,program_boston_college,2026,8204,collective_deal,82,72781
person_000069,program_boston_college,2026,3557,national_brand,88,29999
person_000070,program_boston_college,2026,2746993,national_brand,58,160321
person_000071,program_boston_college,2026,706373,none,57,97851
person_000072,program_boston_college,2026,614151,none,76,237807
person_000073,program_boston_college,2026,1817,national_brand,51,124312
person_000074,program_boston_college,2026,5606130,pending,69,341313
person_000075,program_boston_college,2026,3334647,collective_deal,92,204774
person_000076,program_boston_college,2026,2530064,none,56,287006
person_000077,program_boston_college,2026,491662,national_brand,54,105396
person_000078,program_boston_college,2026,581188,pending,72,237770
person_000079,program_boston_college,2026,911966,none,59,167758
person_000080,program_boston_college,2026,2690302,collective_deal,83,300448
person_000081,program_boston_college,2026,1113440,pending,60,24624
person_000082,program_boston_college,2026,3676671,local_deal,55,243338
