Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Recruit,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,position,Position,string,All,existing-code,app.js,2117,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,stars,Stars,string,4-star,existing-code,js/sim/tests/m18-tests.js,86,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,rank,Rank,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,499,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,state,State,string,carouselState,existing-code,app.js,7280,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,hometown,Hometown,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,698,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,high school,High School,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,94,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,interest,Interest,string,80,existing-code,js/sim/tests/m18-tests.js,37,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,status,Status,string,All,existing-code,app.js,2117,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,visit,Visit,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1019,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,pipeline,Pipeline,string,pipeline,existing-code,app.js,6426,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,scholarship,Scholarship,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,733,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,offer amount,Offer Amount,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Recruit,NIL demand,Nil Demand,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/34_TRANSFER_PORTAL_AND_RETENTION_ENGINE_SPEC.md,257,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,commitment,Commitment,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,558,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,academics,Academics,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,401,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,personality,Personality,string,Personality,existing-code,app.js,606,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,scheme fit,Scheme Fit,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,369,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Recruit,scouting grade,Scouting Grade,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Recruit,potential,Potential,string,90,existing-code,js/m0/foundation.js,238,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Recruit,A,A,string,17,existing-code,app.js,988,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,academicFit,Academic Fit,string,academicFit,existing-code,js/sim/recruiting/recruiting-v2.js,29,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,academicScore,Academic Score,string,70,existing-code,harness/scenarios/registry.js,75,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,academyDevelopment,Academy Development,string,14,mock-only,data/demo-world.js,359,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,accessor,Accessor,string,(r) => r.name,existing-code,app.js,6075,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,action,Action,string,open-prospect,existing-code,app.js,6523,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,actionsByProspect,Actions By Prospect,string,{,existing-code,js/sim/persistence/reducers.js,55,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,activeId,Active Id,string,state.tab,existing-code,app.js,6610,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,actorId,Actor Id,string,T1,existing-code,js/sim/tests/persistence-tests.js,18,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,adaptability,Adaptability,string,15,mock-only,data/demo-world.js,357,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,adTrust,Ad Trust,string,71,mock-only,data/fbs-world.js,549,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,align,Align,string,center,existing-code,app.js,6076,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,ambition,Ambition,string,10,existing-code,app.js,9664,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,amountSpent,Amount Spent,string,amountM,existing-code,js/sim/nil/nil-engine.js,77,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Andre,Andre,string,Andre,existing-code,app.js,119,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,at,At,string,next.career && next.career.week,existing-code,js/sim/persistence/reducers.js,65,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Avery,Avery,string,Avery,existing-code,app.js,104,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,B,B,string,14,existing-code,app.js,988,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Barlow,Barlow,string,Barlow,existing-code,app.js,145,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,baseline,Baseline,string,65,existing-code,js/sim/pulse/campus-pulse.js,14,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,bids,Bids,string,[{schoolId,existing-code,js/sim/ai/ai-nil-bidding.js,96,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Bishop,Bishop,string,Bishop,existing-code,app.js,128,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,board,Board,string,board,existing-code,app.js,6422,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,boardPatience,Board Patience,string,13,mock-only,data/demo-world.js,401,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,body,Body,string,`Head coach personally visited ${prospect.name,existing-code,app.js,2908,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,BoomBust,Boom Bust,string,Boom/Bust,existing-code,app.js,364,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,boosterStrength,Booster Strength,string,14,mock-only,data/demo-world.js,400,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,boosterTemperature,Booster Temperature,string,+3,existing-code,js/sim/pulse/campus-pulse.js,43,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Brand Builder,Brand Builder,string,Brand Builder,existing-code,app.js,292,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,brandReach,Brand Reach,string,14,mock-only,data/demo-world.js,400,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,breakdown,Breakdown,string,{input: contribution,existing-code,js/sim/recruiting/recruiting-v2.js,73,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,breakoutChance,Breakout Chance,string,0.14,existing-code,js/sim/dev/dev-engine.js,33,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Bryce,Bryce,string,Bryce,existing-code,app.js,113,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,budgetControl,Budget Control,string,13,mock-only,data/demo-world.js,356,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,budgeted,Budgeted,string,170,existing-code,app.js,2238,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,C,C,string,11,existing-code,app.js,988,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Calvin,Calvin,string,Calvin,existing-code,app.js,120,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,campusAppeal,Campus Appeal,string,16,mock-only,data/demo-world.js,402,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,campusFit,Campus Fit,string,campusFit,existing-code,js/sim/recruiting/recruiting-v2.js,33,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,candidateId,Candidate Id,string,c1,existing-code,js/sim/tests/reducers-tests.js,87,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,captain,Captain,string,true,existing-code,js/sim/tests/portal-v2-tests.js,194,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Carter,Carter,string,Carter,existing-code,app.js,110,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,cat,Cat,string,Dev Curve,existing-code,app.js,522,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,category,Category,string,recruit_commit,existing-code,js/sim/tests/m18-tests.js,131,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,CB,Cb,string,CB,existing-code,app.js,147,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,Central,Central,string,Central,existing-code,app.js,148,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,classYear,Class Year,string,HS_SR,existing-code,js/sim/tests/m18-tests.js,36,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,coach,Coach,string,0.80,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,coachability,Coachability,string,10,existing-code,app.js,9664,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,coachQuality,Coach Quality,string,coachQuality,existing-code,js/sim/recruiting/recruiting-v2.js,26,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,coachRep,Coach Rep,string,10,existing-code,app.js,9180,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,colId,Col Id,string,interest,existing-code,app.js,6443,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,commitBonus,Commit Bonus,string,6,existing-code,app.js,370,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,committed,Committed,string,110,existing-code,app.js,2238,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,communityScore,Community Score,string,70,existing-code,harness/scenarios/registry.js,75,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Recruit,complianceCulture,Compliance Culture,string,16,mock-only,data/demo-world.js,400,,,,,Present in data/mock/generated run output.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
