Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
NIL,NIL budget total,Nil Budget Total,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
NIL,spent,Spent,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,115,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,committed,Committed,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1877,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,available,Available,string,,spec-only,AGENTS.md,10,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,monthly income,Monthly Income,string,,spec-only,ai-pack/cfl_ui_asset_manifest_pack/docs/SCREEN_TO_ASSET_BREAKDOWN.md,154,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,monthly expenses,Monthly Expenses,string,,spec-only,ai-pack/college_football_legends_visual_style_guide.md,1322,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,collective name,Collective Name,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
NIL,donor influence,Donor Influence,string,,spec-only,ai-pack/CFB_FM_BUILD_SUPERPACK/11_QA_HEADLESS_AND_AI_QC.md,109,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,partner list,Partner List,string,,spec-only,cfl_agent_repo_pack/specs/screens/nil-management.visual-spec.md,37,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
NIL,player NIL value,Player Nil Value,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1546,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
