Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Ranking,rank,Rank,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,499,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Ranking,ranking,Ranking,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,1273,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Ranking,teamGrade,Team Grade,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Ranking,wins,Wins,string,0,existing-code,app.js,2275,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,losses,Losses,string,0,existing-code,app.js,2275,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,record,Record,string,0-0,existing-code,js/m0/foundation.js,802,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,strengthOfSchedule,Strength Of Schedule,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Ranking,conference,Conference,string,conference,existing-code,app.js,8478,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,prestige,Prestige,string,0.85,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,fanBaseScore,Fan Base Score,string,teams[id].fanBaseScore,existing-code,harness/soak.js,180,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,award,Award,string,qb,existing-code,harness/soak.js,168,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,ballots,Ballots,string,ballotsResult.ballots,existing-code,app.js,7210,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Ranking,_id,Id,string,`c${i,existing-code,app.js,8493,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,accessor,Accessor,string,(r) => r.name,existing-code,app.js,6075,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,activeId,Active Id,string,state.tab,existing-code,app.js,8431,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,ALA,Ala,string,0.85,existing-code,js/sim/tests/awards-tests.js,91,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,align,Align,string,center,existing-code,app.js,6076,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,allAmerican,All American,string,[...],existing-code,js/sim/awards/awards-engine.js,156,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,allConference,All Conference,string,{ confId: [{position,existing-code,js/sim/awards/awards-engine.js,156,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,attrs,Attrs,string,{,existing-code,js/sim/tests/portal-v2-tests.js,106,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,avg,Avg,string,avg.toFixed(1),existing-code,harness/soak.js,256,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,awardsCount,Awards Count,string,soak.awardsHistory.length,existing-code,harness/soak.js,256,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Ranking,awardsHistory,Awards History,array,"[{'year': 2030, 'teamId': 'T00', 'award': 'qb', 'winnerId': 'T00-p1', 'score': 44}, {'year': 2030, 'teamId': 'T00', 'award': 'rb', 'winnerId': 'T00-p6', 'score': 25}, {'year': 2030",mock-only,harness/runs/soak/seed_1.json,JSON traversal,,,,,Present in data/mock/generated run output.,,,Yes,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
