staffAssignmentId,programId,personId,roleId,seasonYear,status
staff_program_boston_college_head_coach,program_boston_college,person_000001,head_coach,2026,active
staff_program_boston_college_offensive_coordinator,program_boston_college,person_000002,offensive_coordinator,2026,active
staff_program_boston_college_defensive_coordinator,program_boston_college,person_000003,defensive_coordinator,2026,active
staff_program_boston_college_special_teams_coordinator,program_boston_college,person_000004,special_teams_coordinator,2026,active
staff_program_boston_college_recruiting_coordinator,program_boston_college,person_000005,recruiting_coordinator,2026,active
staff_program_boston_college_qb_coach,program_boston_college,person_000006,qb_coach,2026,active
staff_program_boston_college_rb_coach,program_boston_college,person_000007,rb_coach,2026,active
staff_program_boston_college_wr_coach,program_boston_college,person_000008,wr_coach,2026,active
staff_program_boston_college_ol_coach,program_boston_college,person_000009,ol_coach,2026,active
staff_program_boston_college_dl_coach,program_boston_college,person_000010,dl_coach,2026,active
staff_program_boston_college_lb_coach,program_boston_college,person_000011,lb_coach,2026,active
staff_program_boston_college_db_coach,program_boston_college,person_000012,db_coach,2026,active
staff_program_boston_college_strength_coach,program_boston_college,person_000013,strength_coach,2026,active
staff_program_boston_college_nil_director,program_boston_college,person_000014,nil_director,2026,active
staff_program_california_head_coach,program_california,person_000120,head_coach,2026,active
staff_program_california_offensive_coordinator,program_california,person_000121,offensive_coordinator,2026,active
staff_program_california_defensive_coordinator,program_california,person_000122,defensive_coordinator,2026,active
staff_program_california_special_teams_coordinator,program_california,person_000123,special_teams_coordinator,2026,active
staff_program_california_recruiting_coordinator,program_california,person_000124,recruiting_coordinator,2026,active
staff_program_california_qb_coach,program_california,person_000125,qb_coach,2026,active
staff_program_california_rb_coach,program_california,person_000126,rb_coach,2026,active
staff_program_california_wr_coach,program_california,person_000127,wr_coach,2026,active
staff_program_california_ol_coach,program_california,person_000128,ol_coach,2026,active
staff_program_california_dl_coach,program_california,person_000129,dl_coach,2026,active
staff_program_california_lb_coach,program_california,person_000130,lb_coach,2026,active
staff_program_california_db_coach,program_california,person_000131,db_coach,2026,active
staff_program_california_strength_coach,program_california,person_000132,strength_coach,2026,active
staff_program_california_nil_director,program_california,person_000133,nil_director,2026,active
staff_program_clemson_head_coach,program_clemson,person_000239,head_coach,2026,active
staff_program_clemson_offensive_coordinator,program_clemson,person_000240,offensive_coordinator,2026,active
staff_program_clemson_defensive_coordinator,program_clemson,person_000241,defensive_coordinator,2026,active
staff_program_clemson_special_teams_coordinator,program_clemson,person_000242,special_teams_coordinator,2026,active
staff_program_clemson_recruiting_coordinator,program_clemson,person_000243,recruiting_coordinator,2026,active
staff_program_clemson_qb_coach,program_clemson,person_000244,qb_coach,2026,active
staff_program_clemson_rb_coach,program_clemson,person_000245,rb_coach,2026,active
staff_program_clemson_wr_coach,program_clemson,person_000246,wr_coach,2026,active
staff_program_clemson_ol_coach,program_clemson,person_000247,ol_coach,2026,active
staff_program_clemson_dl_coach,program_clemson,person_000248,dl_coach,2026,active
staff_program_clemson_lb_coach,program_clemson,person_000249,lb_coach,2026,active
staff_program_clemson_db_coach,program_clemson,person_000250,db_coach,2026,active
staff_program_clemson_strength_coach,program_clemson,person_000251,strength_coach,2026,active
staff_program_clemson_nil_director,program_clemson,person_000252,nil_director,2026,active
staff_program_duke_head_coach,program_duke,person_000358,head_coach,2026,active
staff_program_duke_offensive_coordinator,program_duke,person_000359,offensive_coordinator,2026,active
staff_program_duke_defensive_coordinator,program_duke,person_000360,defensive_coordinator,2026,active
staff_program_duke_special_teams_coordinator,program_duke,person_000361,special_teams_coordinator,2026,active
staff_program_duke_recruiting_coordinator,program_duke,person_000362,recruiting_coordinator,2026,active
staff_program_duke_qb_coach,program_duke,person_000363,qb_coach,2026,active
staff_program_duke_rb_coach,program_duke,person_000364,rb_coach,2026,active
staff_program_duke_wr_coach,program_duke,person_000365,wr_coach,2026,active
