Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Stadium,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,stadium name,Stadium Name,string,,spec-only,ai-pack/cfl_ui_asset_manifest_pack/docs/SCREEN_TO_ASSET_BREAKDOWN.md,79,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,capacity,Capacity,string,capacity,existing-code,app.js,284,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,current capacity,Current Capacity,string,,spec-only,cfl_agent_repo_pack/specs/screens/stadium-builder.visual-spec.md,37,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,target capacity,Target Capacity,string,,spec-only,cfl_agent_repo_pack/specs/screens/stadium-builder.visual-spec.md,38,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,year built,Year Built,string,,spec-only,cfl_agent_repo_pack/specs/screens/stadium-builder.visual-spec.md,42,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,last renovation,Last Renovation,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,field type,Field Type,string,,spec-only,cfl_agent_repo_pack/specs/screens/stadium-builder.visual-spec.md,43,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,surface quality,Surface Quality,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,fan experience,Fan Experience,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1733,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,home field advantage,Home Field Advantage,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,noise rating,Noise Rating,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,seating tiers,Seating Tiers,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,club seats,Club Seats,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,suites,Suites,string,suites.length,existing-code,js/sim/test-runner.js,77,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,scoreboard type,Scoreboard Type,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,atmosphere rating,Atmosphere Rating,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,expansion options,Expansion Options,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,upgrade costs,Upgrade Costs,string,,spec-only,ai-pack/college-football-management-ai-pack/06_RULES_AND_WORLD_MODEL.md,139,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Stadium,upgrade completion date,Upgrade Completion Date,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Stadium,atmosphere,Atmosphere,string,atmosphere,existing-code,app.js,284,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,turfQuality,Turf Quality,string,turfQuality,existing-code,app.js,284,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,weatherControl,Weather Control,string,weatherControl,existing-code,app.js,284,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,lockerRoomQuality,Locker Room Quality,string,lockerRoomQuality,existing-code,app.js,284,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,trainingComplexLink,Training Complex Link,string,trainingComplexLink,existing-code,app.js,285,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,medicalBayQuality,Medical Bay Quality,string,medicalBayQuality,existing-code,app.js,285,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,crowdNoise,Crowd Noise,string,crowdNoise,existing-code,app.js,285,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,sightlines,Sightlines,string,sightlines,existing-code,app.js,285,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,pressFacilities,Press Facilities,string,pressFacilities,existing-code,app.js,285,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,vipSuites,Vip Suites,string,vipSuites,existing-code,app.js,286,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,concessionQuality,Concession Quality,string,concessionQuality,existing-code,app.js,286,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,parkingAccess,Parking Access,string,parkingAccess,existing-code,app.js,286,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,transitAccess,Transit Access,string,transitAccess,existing-code,app.js,286,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,securityReadiness,Security Readiness,string,securityReadiness,existing-code,app.js,286,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,homeFieldAdvantage,Home Field Advantage,string,homeFieldAdvantage,existing-code,app.js,287,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,scoreboardTech,Scoreboard Tech,string,scoreboardTech,existing-code,app.js,287,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,broadcastInfrastructure,Broadcast Infrastructure,string,broadcastInfrastructure,existing-code,app.js,287,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,lightingQuality,Lighting Quality,string,lightingQuality,existing-code,app.js,287,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Stadium,drainageQuality,Drainage Quality,string,drainageQuality,existing-code,app.js,287,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
