Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Program,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,shortName,Short Name,string,,existing-code,app.js,4649,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,crest,Crest,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/PROJECT_STATUS.md,268,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,record,Record,string,0-0,existing-code,js/m0/foundation.js,802,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,rival,Rival,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,849,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,headCoachProfileId,Head Coach Profile Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,schoolProfileId,School Profile Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,stadiumProfileId,Stadium Profile Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,basePrestige,Base Prestige,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,baseFanConfidence,Base Fan Confidence,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,baseDonorConfidence,Base Donor Confidence,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,baseAcademicStability,Base Academic Stability,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,program prestige,Program Prestige,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1128,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,coach trust,Coach Trust,string,,spec-only,ai-pack/CFB_FM_BUILD_SUPERPACK/06_PACKETS_11_30.md,336,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,booster support,Booster Support,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,fan confidence,Fan Confidence,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,442,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,athletic budget,Athletic Budget,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,recruiting budget,Recruiting Budget,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1384,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,NIL budget,Nil Budget,string,,spec-only,ai-pack/cfl_ui_asset_manifest_pack/docs/PRODUCTION_ASSET_BIBLE.md,78,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,facilities level,Facilities Level,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,stadium level,Stadium Level,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,academic reputation,Academic Reputation,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,brand exposure,Brand Exposure,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,352,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,pipeline states,Pipeline States,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,historical wins,Historical Wins,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,championships,Championships,string,0,existing-code,app.js,7321,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,bowl history,Bowl History,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,rivalry records,Rivalry Records,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/39_AWARDS_RECORDS_HISTORY_AND_MEDIA_NARRATIVE_SPEC.md,164,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,media expectations,Media Expectations,string,,spec-only,ai-pack/college-football-management-ai-pack/09_DATA_MODEL_AND_CONTENT_PIPELINE.md,67,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Program,playoff expectations,Playoff Expectations,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Program,wins,Wins,string,0,existing-code,app.js,2275,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,losses,Losses,string,0,existing-code,app.js,2275,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Program,historicalRecords,Historical Records,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
