Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
School Brand,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
School Brand,schoolName,School Name,string,A,existing-code,js/sim/tests/m18-tests.js,37,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
School Brand,nickname,Nickname,object,{'type': 'string'},spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
School Brand,abbreviation,Abbreviation,object,"{'type': 'string', 'maxLength': 5}",spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
School Brand,conference,Conference,string,conference,existing-code,app.js,8478,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
School Brand,primaryColor,Primary Color,string,,spec-only,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/75_IMAGE_GENERATION_DATA_MODELS.md,101,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
School Brand,secondaryColor,Secondary Color,string,,spec-only,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/75_IMAGE_GENERATION_DATA_MODELS.md,102,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
School Brand,accentColor,Accent Color,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
School Brand,darkNeutral,Dark Neutral,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
School Brand,lightNeutral,Light Neutral,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
School Brand,logos,Logos,object,"{'type': 'object', 'required': ['primary'], 'properties': {'primary': {'type': 'string'}, 'secondary': {'type': 'string'}, 'wordmark': {'type': 'string'}, 'helmetDecal': {'type': '",spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
