Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Team,team id,Team Id,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/FM2020_ARCHITECTURE_NOTES.md,338,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,school id,School Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Team,school name,School Name,string,,spec-only,ai-pack/cfl_ui_asset_manifest_pack/docs/SCREEN_TO_ASSET_BREAKDOWN.md,129,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,shortName,Short Name,string,,existing-code,app.js,4649,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,nickname,Nickname,object,{'type': 'string'},spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,abbreviation,Abbreviation,object,"{'type': 'string', 'maxLength': 5}",spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,crest,Crest,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/PROJECT_STATUS.md,268,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,conference,Conference,string,conference,existing-code,app.js,8478,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,division,Division,string,,spec-only,ai-pack/CFB_FM_REMAINING_SYSTEM_SPECS/44_SCHEDULING_CONFERENCES_REALIGNMENT_AND_POSTSEASON_SPEC.md,62,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,logo,Logo,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1074,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,colors,Colors,object,"{'type': 'object', 'required': ['primary', 'secondary', 'accent', 'dark', 'light'], 'properties': {'primary': {'type': 'string'}, 'secondary': {'type': 'string'}, 'accent': {'type'",spec-only,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,record,Record,string,0-0,existing-code,js/m0/foundation.js,802,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,conference record,Conference Record,string,,spec-only,ai-pack/CFB_FM_REMAINING_SYSTEM_SPECS/44_SCHEDULING_CONFERENCES_REALIGNMENT_AND_POSTSEASON_SPEC.md,145,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,ranking,Ranking,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,1273,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,prestige,Prestige,string,0.85,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,overall rating,Overall Rating,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,921,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,offense rating,Offense Rating,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Team,defense rating,Defense Rating,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Team,special teams rating,Special Teams Rating,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Team,morale,Morale,string,morale,existing-code,app.js,5951,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Team,chemistry,Chemistry,string,,spec-only,ai-pack/CFB_FM_BUILD_SUPERPACK/09_SCOPE_NOTES_COMPILER.md,256,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,fan support,Fan Support,string,,spec-only,ai-pack/college_football_legends_visual_style_guide.md,817,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Team,facilities grade,Facilities Grade,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Team,academic grade,Academic Grade,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
