Entity Name,Description,Source Status,Primary Source File,Approx Field Count,Related Screens,Related Entities,Notes,Approval Status
Coach,Head coach/coordinator/position coach attributes and contract/reputation fields.,existing-code,app.js,333,"Coach Profile, Scouting Report, Skill Tree / Coaching Upgrades",,Review field rows for source status before approving.,pending-review
Conference,"Conference identity, membership, tier, and realignment fields.",existing-code,app.js,158,,,Review field rows for source status before approving.,pending-review
Game,"Scheduled/played game, score, venue, and result fields.",existing-code,ai-pack/CFB_FM_STATS_ENGINE_PACK/CFB_FM_STATS_ENGINE_PACK/01_STATS_ENGINE_NORTH_STAR.md,332,"Game Report Card, Postgame Box Score",,Review field rows for source status before approving.,pending-review
NIL,"NIL budget, collective, offer, and player/recruit NIL fields.",existing-code,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,160,"NIL Budget, NIL Management",,Review field rows for source status before approving.,pending-review
News Event,"Inbox, notification, event, and timeline fields.",existing-code,app.js,221,Dashboard,,Review field rows for source status before approving.,pending-review
Playbook / Scheme,"Scheme, formation, concept, personnel, and game-plan fields.",existing-code,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/28_PLAY_GENERATOR_AND_GAME_SIM_ENGINE_SPEC.md,130,Game Planning,,Review field rows for source status before approving.,pending-review
Player,"Roster/player identity, status, development, and display fields.",existing-code,app.js,441,"Depth Chart, Player Profile, Roster",,Review field rows for source status before approving.,pending-review
Player Development,Long-term player growth and practice/development controls.,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/32_AI_SCHOOL_PROGRAM_MANAGER_SPEC.md,15,,,Review field rows for source status before approving.,pending-review
Player Rating,"Physical, technical, mental, football IQ, and position-specific ratings.",spec-only,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/61_CALL_IN_SHOW_PERSONALITY_LIBRARY.md,111,Player Profile,,Review field rows for source status before approving.,pending-review
Player Trait,"Qualitative player traits that may affect sim, recruiting, morale, or growth.",existing-code,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,17,,,Review field rows for source status before approving.,pending-review
Program,Long-term school/program state and institutional metrics.,existing-code,app.js,311,"Dashboard, Team Hub",,Review field rows for source status before approving.,pending-review
Ranking,Poll/ranking/award/standings related fields.,existing-code,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,192,"Dashboard, Rankings",,Review field rows for source status before approving.,pending-review
Recruit,Prospect/recruiting board and prospect detail fields.,existing-code,app.js,343,"Prospect Detail, Recruiting Board",,Review field rows for source status before approving.,pending-review
Schedule,"Calendar, agenda, notification, and schedule-row fields.",existing-code,docs/archive/2026-05-pre-rebuild-research/FM2020_ARCHITECTURE_NOTES.md,97,"Dashboard, Schedule",,Review field rows for source status before approving.,pending-review
School Brand,"TeamBrand/school identity, color, logo, gradient, and branding fields.",existing-code,app.js,236,School Creator,,Review field rows for source status before approving.,pending-review
Simulation,"Game engine, play event, probability, game plan, and result fields.",existing-code,ai-pack/CFB_FM_STATS_ENGINE_PACK/CFB_FM_STATS_ENGINE_PACK/08_AI_BUILD_PACKETS_STATS_ENGINE.md,1032,"Game Planning, Game Report Card, Postgame Box Score, Scouting Report",,Review field rows for source status before approving.,pending-review
Stadium,"Venue identity, capacity, quality, atmosphere, and upgrade fields.",existing-code,app.js,87,Stadium Builder,,Review field rows for source status before approving.,pending-review
Staff,Support staff and staff-card fields.,existing-code,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,200,Staff Management,,Review field rows for source status before approving.,pending-review
Team,"Team-season state, ratings, identity link fields, and roster aggregates.",existing-code,docs/archive/2026-05-pre-rebuild-research/FM2020_ARCHITECTURE_NOTES.md,1014,"Dashboard, Team Hub",,Review field rows for source status before approving.,pending-review
Uniform,Uniform creator/equipment appearance fields.,spec-only,ai-pack/CFB_FM_UI_NARRATIVE_VIBE_PACK/11_AUDIO_AMBIENCE_AND_ASSET_DIRECTION_OPTIONAL.md,19,Uniform Creator,,Review field rows for source status before approving.,pending-review
