Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Player,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,first name,First Name,string,,spec-only,ai-pack/college_football_legends_visual_style_guide.md,1242,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,last name,Last Name,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player,full name,Full Name,string,,spec-only,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/60_SAUL_AND_PEVE_HOST_BACKGROUNDS.md,27,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,type,Type,string,null,existing-code,app.js,10314,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,position,Position,string,All,existing-code,app.js,2117,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,archetype,Archetype,string,Explosive dual-threat tools monster,spec-only,ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,jersey number,Jersey Number,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,487,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,height,Height,string,1080,spec-only,cfl_agent_repo_pack/tests/visual/playwright-visual-template.spec.ts,8,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,weight,Weight,string,1,existing-code,js/sim/matchup/matchup.js,25,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,year/class,Year/Class,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player,classYear,Class Year,string,JR,existing-code,js/m0/foundation.js,238,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,age,Age,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,87,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,hometown,Hometown,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,698,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,state,State,string,carouselState,existing-code,app.js,7280,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,high school,High School,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,94,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,handedness,Handedness,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,706,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,eligibility,Eligibility,string,eligibility,existing-code,app.js,5949,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Player,redshirt status,Redshirt Status,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,777,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,transfer status,Transfer Status,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1439,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player,NIL status,Nil Status,,,inferred,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Player,morale,Morale,string,morale,existing-code,app.js,5951,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
