Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Schedule,schedule id,Schedule Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Schedule,team id,Team Id,string,,spec-only,docs/archive/2026-05-pre-rebuild-research/FM2020_ARCHITECTURE_NOTES.md,338,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,season,Season,string,1,existing-code,js/sim/persistence/reducers.js,32,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Schedule,week,Week,string,career.advanceCount,existing-code,app.js,3356,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Schedule,opponent,Opponent,string,config.opponentName,existing-code,app.js,2356,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Schedule,home/away/neutral,Home/Away/Neutral,string,,spec-only,ai-pack/CFB_FM_STATS_ENGINE_PACK/CFB_FM_STATS_ENGINE_PACK/01_STATS_ENGINE_NORTH_STAR.md,75,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,result,Result,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,513,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,score,Score,string,55,existing-code,app.js,3376,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Schedule,date,Date,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,359,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,time,Time,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,322,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,conference game,Conference Game,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/39_AWARDS_RECORDS_HISTORY_AND_MEDIA_NARRATIVE_SPEC.md,96,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,rivalry game,Rivalry Game,string,,spec-only,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/74_DYNAMIC_IMAGE_GENERATION_SYSTEM_SPEC.md,120,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,ranked opponent,Ranked Opponent,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Schedule,TV,Tv,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1800,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,stadium,Stadium,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,11,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Schedule,dateLabel,Date Label,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
