personId,primaryPosition,secondaryPosition,jerseyNumber,heightInches,weightPounds,classYear,eligibilityYearsRemaining,redshirtStatus,transferStatus,depthChartRole,captainStatus,schemeFit,developmentSpeed,playingTimeExpectation,academicStanding
person_000015,QB,,37,76,235,SR,3,available,none,starter,False,92,84,starter,86
person_000016,QB,,28,72,211,FR,3,available,none,starter,False,94,42,starter,65
person_000017,QB,,87,77,234,RS SR,3,redshirted,none,starter,False,80,68,rotation,63
person_000018,QB,,82,72,219,RS SO,1,redshirted,none,starter,False,57,41,star,59
person_000019,QB,,12,76,199,SO,2,available,none,starter,False,79,49,starter,71
person_000020,RB,,98,74,199,RS SO,3,redshirted,none,starter,False,77,57,rotation,70
person_000021,RB,,61,74,212,RS FR,1,redshirted,none,starter,False,63,73,star,59
person_000022,RB,,58,72,206,SO,1,available,none,starter,False,99,59,starter,74
person_000023,RB,,88,71,203,RS SO,3,redshirted,none,starter,False,99,77,special teams,69
person_000024,RB,,99,72,208,RS JR,2,redshirted,none,starter,False,56,54,special teams,74
person_000025,RB,,32,74,226,JR,4,available,none,starter,False,59,53,rotation,85
person_000026,RB,,84,68,197,RS SO,4,redshirted,none,starter,False,80,67,star,53
person_000027,WR,,87,77,178,SR,2,available,none,starter,False,83,33,special teams,58
person_000028,WR,,20,77,206,RS SR,3,redshirted,none,starter,False,75,59,rotation,81
person_000029,WR,,75,76,181,RS JR,4,redshirted,none,starter,False,68,48,special teams,59
person_000030,WR,,58,69,181,JR,4,available,none,starter,False,83,57,star,64
person_000031,WR,,81,72,200,JR,3,available,none,starter,False,90,42,starter,80
person_000032,WR,,76,76,192,RS SR,2,redshirted,none,starter,False,91,73,rotation,80
person_000033,WR,,71,68,193,RS SO,4,redshirted,none,starter,False,67,59,special teams,70
person_000034,WR,,0,68,188,SR,3,available,none,starter,False,62,68,rotation,82
person_000035,WR,,96,74,198,SO,1,available,none,starter,False,77,82,starter,62
person_000036,WR,,94,69,189,FR,2,available,none,starter,False,69,51,developmental,68
person_000037,WR,,80,72,173,RS JR,3,redshirted,none,developmental,False,85,61,special teams,80
person_000038,WR,,94,75,217,SO,3,available,none,rotation,False,85,74,special teams,76
person_000039,WR,,71,76,195,FR,4,available,none,starter,False,40,79,rotation,56
person_000040,WR,,91,70,180,SO,1,available,none,developmental,False,74,59,rotation,35
person_000041,TE,,97,78,234,SO,4,available,none,starter,False,74,86,rotation,63
person_000042,TE,,42,79,250,RS SO,3,redshirted,none,developmental,False,70,62,starter,68
person_000043,TE,,47,76,237,RS SO,1,redshirted,none,rotation,False,65,66,developmental,77
person_000044,TE,,18,76,264,SO,3,available,none,rotation,False,78,51,special teams,97
person_000045,TE,,21,78,259,RS JR,3,redshirted,none,backup,False,99,71,star,61
person_000046,TE,,26,77,254,SO,3,available,none,backup,False,58,78,developmental,64
person_000047,OL,,79,80,323,SR,2,available,none,developmental,False,64,59,rotation,72
