Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Coach,id,Id,string,desk,existing-code,app.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,name,Name,string,Pocket Distributor,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,age,Age,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,87,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,role,Role,string,Recruiting Coordinator,existing-code,app.js,2898,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,position group,Position Group,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,1382,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,scheme preference,Scheme Preference,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1217,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,offensive philosophy,Offensive Philosophy,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Coach,defensive philosophy,Defensive Philosophy,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Coach,recruiting ability,Recruiting Ability,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Coach,player development,Player Development,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,595,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,play calling,Play Calling,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,208,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,leadership,Leadership,string,leadership,existing-code,app.js,217,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,motivation,Motivation,string,motivation,existing-code,app.js,270,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,discipline,Discipline,string,discipline,existing-code,app.js,270,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,adaptability,Adaptability,string,adaptability,existing-code,app.js,270,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,scouting,Scouting,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,7,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,NIL influence,Nil Influence,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,2100,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,pipeline strength,Pipeline Strength,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,1957,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,prestige,Prestige,string,0.85,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,loyalty,Loyalty,string,loyalty,existing-code,app.js,271,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,ambition,Ambition,string,ambition,existing-code,app.js,271,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,contract years,Contract Years,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,644,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,salary,Salary,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,926,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,buyout,Buyout,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT_PART_II.md,151,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,previous schools,Previous Schools,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Coach,coaching tree,Coaching Tree,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,770,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,personality,Personality,string,Personality,existing-code,app.js,606,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,traits,Traits,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,57,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Coach,tacticalKnowledge,Tactical Knowledge,string,tacticalKnowledge,existing-code,app.js,266,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,offensiveStrategy,Offensive Strategy,string,offensiveStrategy,existing-code,app.js,266,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,defensiveStrategy,Defensive Strategy,string,defensiveStrategy,existing-code,app.js,266,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,qbDevelopment,Qb Development,string,qbDevelopment,existing-code,app.js,266,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,skillDevelopment,Skill Development,string,skillDevelopment,existing-code,app.js,267,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,lineDevelopment,Line Development,string,lineDevelopment,existing-code,app.js,267,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,strengthConditioning,Strength Conditioning,string,strengthConditioning,existing-code,app.js,267,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,specialTeams,Special Teams,string,specialTeams,existing-code,app.js,267,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,gameManagement,Game Management,string,gameManagement,existing-code,app.js,267,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,inGameAdaptation,In Game Adaptation,string,inGameAdaptation,existing-code,app.js,268,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,opponentAnalysis,Opponent Analysis,string,opponentAnalysis,existing-code,app.js,268,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,dataAnalysis,Data Analysis,string,dataAnalysis,existing-code,app.js,268,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,recruitment,Recruitment,string,recruitment,existing-code,app.js,268,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,scoutingCurrent,Scouting Current,string,scoutingCurrent,existing-code,app.js,268,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,scoutingPotential,Scouting Potential,string,scoutingPotential,existing-code,app.js,269,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,negotiating,Negotiating,string,negotiating,existing-code,app.js,269,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,budgetControl,Budget Control,string,budgetControl,existing-code,app.js,269,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,mediaHandling,Media Handling,string,mediaHandling,existing-code,app.js,269,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,manManagement,Man Management,string,manManagement,existing-code,app.js,269,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,determination,Determination,string,determination,existing-code,app.js,216,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,professionalism,Professionalism,string,professionalism,existing-code,app.js,270,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,decisionMaking,Decision Making,string,decisionMaking,existing-code,app.js,271,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,composure,Composure,string,composure,existing-code,app.js,216,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,pressureHandling,Pressure Handling,string,pressureHandling,existing-code,app.js,271,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,teaching,Teaching,string,teaching,existing-code,app.js,271,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,sportsScience,Sports Science,string,sportsScience,existing-code,app.js,272,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,academyDevelopment,Academy Development,string,academyDevelopment,existing-code,app.js,272,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,staffDelegation,Staff Delegation,string,staffDelegation,existing-code,app.js,272,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,,Review/approve field,pending-review
Coach,A,A,string,17,existing-code,app.js,988,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,Aaron,Aaron,string,Aaron,existing-code,js/sim/staff/coaching-carousel.js,20,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,academic,Academic,string,0.5,existing-code,harness/scenarios/registry.js,69,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,acceleration,Acceleration,string,10,existing-code,app.js,263,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,accessor,Accessor,string,(r) => r.name,existing-code,app.js,6804,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,action,Action,string,offer,existing-code,js/sim/tests/reducers-tests.js,84,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,actions,Actions,string,[],existing-code,app.js,10581,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,activeId,Active Id,string,state.tab,existing-code,app.js,6867,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,addressing,Addressing,string,ReasonCode[],existing-code,js/sim/portal/portal-v2.js,230,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,aggression,Aggression,string,10,existing-code,app.js,262,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,agility,Agility,string,10,existing-code,app.js,263,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,Aiken,Aiken,string,Aiken,existing-code,js/sim/staff/coaching-carousel.js,25,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,all,All,string,[...],existing-code,js/sim/staff/coaching-carousel.js,135,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,allReasons,All Reasons,string,"[""x""]",existing-code,js/sim/tests/portal-v2-tests.js,152,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,analytics,Analytics,string,analytics,existing-code,js/sim/staff/coaching-carousel.js,39,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,anticipation,Anticipation,string,10,existing-code,app.js,261,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,attr,Attr,string,+1,existing-code,js/sim/dev/dev-engine.js,99,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,B,B,string,14,existing-code,app.js,988,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,balance,Balance,string,10,existing-code,app.js,263,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,Bellamy,Bellamy,string,Bellamy,existing-code,js/sim/staff/coaching-carousel.js,25,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,blend,Blend,string,rb,existing-code,js/sim/tests/awards-tests.js,25,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
Coach,Bobby,Bobby,string,Bobby,existing-code,js/sim/staff/coaching-carousel.js,21,,,,,Referenced in active JS/runtime/harness code.,,,,Yes,Discovered by repo scanner; not part of the seed checklist.,Review/keep if still needed,pending-review
