Logical Entity,Table / Store,Field Name,Display Label,Data Type,Example Value,Parent Entity,Entity Layer,FM-Inspired Pattern,Source Basis,Build Phase,Screen Usage,Simulation Usage,Editable By User?,Persistence Needed?,Notes,Approval Status
PersonRoleType,enum_values,athlete,Athlete,enum-value,athlete,PersonRoleType,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PersonRoleType,enum_values,recruit,Recruit,enum-value,recruit,PersonRoleType,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PersonRoleType,enum_values,coach,Coach,enum-value,coach,PersonRoleType,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PersonRoleType,enum_values,staff,Staff,enum-value,staff,PersonRoleType,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PersonRoleType,enum_values,created_person,Created Person,enum-value,created_person,PersonRoleType,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,QB,Qb,enum-value,QB,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,RB,Rb,enum-value,RB,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,WR,Wr,enum-value,WR,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,TE,Te,enum-value,TE,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,OT,Ot,enum-value,OT,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,OG,Og,enum-value,OG,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,C,C,enum-value,C,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,EDGE,Edge,enum-value,EDGE,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,DL,Dl,enum-value,DL,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,LB,Lb,enum-value,LB,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,CB,Cb,enum-value,CB,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,S,S,enum-value,S,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,K,K,enum-value,K,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,P,P,enum-value,P,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,LS,Ls,enum-value,LS,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
Position,enum_values,ATH,Ath,enum-value,ATH,Position,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,FR,Fr,enum-value,FR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,SO,So,enum-value,SO,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,JR,Jr,enum-value,JR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,SR,Sr,enum-value,SR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,RS-FR,Rs Fr,enum-value,RS-FR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,RS-SO,Rs So,enum-value,RS-SO,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,RS-JR,Rs Jr,enum-value,RS-JR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
PlayerClass,enum_values,RS-SR,Rs Sr,enum-value,RS-SR,PlayerClass,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
SeasonPhase,enum_values,offseason,Offseason,enum-value,offseason,SeasonPhase,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
SeasonPhase,enum_values,spring_practice,Spring Practice,enum-value,spring_practice,SeasonPhase,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
SeasonPhase,enum_values,summer_recruiting,Summer Recruiting,enum-value,summer_recruiting,SeasonPhase,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
SeasonPhase,enum_values,preseason,Preseason,enum-value,preseason,SeasonPhase,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
SeasonPhase,enum_values,regular_season,Regular Season,enum-value,regular_season,SeasonPhase,definition,Versioned static vocabulary,domain-design,M0,,,No,Yes,,pending-review
