personId,programId,interestRank,interestLevel,offerStatus,officialVisitStatus,nilOffer,relationshipScore,pipelineBonus
person_016423,program_kent_state,1,32,not_offered,scheduled,386344,48,False
person_016423,program_indiana,2,65,offered,completed,574201,51,False
person_016423,program_new_mexico,3,50,offered,completed,287629,48,False
person_016423,program_sam_houston,4,37,offered,none,398835,21,False
person_016423,program_colorado_state,5,25,offered,completed,349938,2,False
person_016424,program_virginia_tech,1,53,not_offered,scheduled,228918,44,False
person_016424,program_tulane,2,52,not_offered,none,505398,48,False
person_016424,program_san_jose_state,3,74,not_offered,scheduled,228599,95,False
person_016424,program_san_diego_state,4,13,not_offered,completed,527162,1,False
person_016424,program_indiana,5,49,not_offered,completed,500116,49,False
person_016425,program_virginia_tech,1,26,offered,scheduled,254565,33,False
person_016425,program_western_kentucky,2,52,offered,none,428367,43,False
person_016425,program_lsu,3,48,offered,none,438616,52,False
person_016425,program_kennesaw_state,4,48,offered,completed,189841,67,False
person_016425,program_colorado,5,27,not_offered,completed,184518,49,False
person_016426,program_baylor,1,74,offered,completed,822494,70,False
person_016426,program_nc_state,2,44,not_offered,none,334768,58,False
person_016426,program_ohio,3,29,not_offered,none,370292,22,False
person_016426,program_miami_oh,4,34,not_offered,scheduled,831261,8,False
person_016426,program_ole_miss,5,54,not_offered,none,492573,55,False
person_016427,program_louisiana,1,82,offered,none,2474647,71,False
person_016427,program_unlv,2,52,offered,scheduled,1282832,59,False
person_016427,program_lsu,3,38,offered,completed,1368544,50,False
person_016427,program_delaware,4,30,not_offered,completed,2231161,22,False
person_016427,program_louisville,5,45,offered,scheduled,2077867,28,False
person_016428,program_florida,1,77,offered,none,177994,63,False
person_016428,program_notre_dame,2,46,not_offered,completed,320104,53,False
person_016428,program_akron,3,47,offered,none,324504,47,False
person_016428,program_west_virginia,4,41,not_offered,scheduled,233810,48,False
person_016428,program_baylor,5,49,offered,scheduled,255805,49,False
person_016429,program_kent_state,1,60,offered,completed,277490,72,False
person_016429,program_clemson,2,73,not_offered,completed,226731,75,False
person_016429,program_unlv,3,59,offered,none,158766,78,False
person_016429,program_tennessee,4,47,offered,scheduled,255274,55,False
person_016429,program_buffalo,5,33,offered,none,223503,32,False
person_016430,program_washington_state,1,86,not_offered,scheduled,282055,86,False
person_016430,program_east_carolina,2,47,not_offered,scheduled,218012,55,False
person_016430,program_toledo,3,47,offered,none,186789,36,False
person_016430,program_mississippi_state,4,33,not_offered,scheduled,270782,9,False
person_016430,program_missouri_state,5,12,offered,scheduled,269918,6,False
person_016431,program_georgia_southern,1,41,offered,none,542158,39,False
person_016431,program_virginia,2,64,not_offered,scheduled,346250,52,False
person_016431,program_boston_college,3,51,not_offered,scheduled,444472,69,False
person_016431,program_missouri,4,27,not_offered,scheduled,526027,35,False
person_016431,program_rutgers,5,25,offered,none,419559,22,False
person_016432,program_oklahoma,1,78,offered,none,466758,76,False
person_016432,program_california,2,41,not_offered,scheduled,479864,28,False
person_016432,program_appalachian_state,3,39,offered,none,492791,32,False
person_016432,program_umass,4,53,offered,scheduled,314826,54,False
person_016432,program_florida_atlantic,5,28,not_offered,completed,285658,5,False
person_016433,program_wyoming,1,38,offered,scheduled,214144,50,False
person_016433,program_baylor,2,46,offered,completed,257594,44,False
person_016433,program_north_carolina,3,44,not_offered,completed,374735,45,False
person_016433,program_james_madison,4,40,not_offered,none,394839,39,False
person_016433,program_georgia,5,47,not_offered,scheduled,188076,40,False
person_016434,program_arizona,1,69,offered,scheduled,784560,56,False
person_016434,program_ucla,2,59,offered,none,545608,79,False
person_016434,program_utep,3,59,not_offered,completed,485999,48,False
person_016434,program_miami_fl,4,35,not_offered,completed,703820,35,False
person_016434,program_illinois,5,11,not_offered,scheduled,470587,5,False
person_016435,program_georgia_state,1,75,offered,none,1734108,52,False
person_016435,program_ole_miss,2,63,offered,scheduled,695550,50,False
person_016435,program_oregon_state,3,48,not_offered,scheduled,827825,56,False
person_016435,program_north_texas,4,64,offered,completed,2093174,78,False
person_016435,program_georgia_southern,5,20,not_offered,scheduled,1926187,9,False
person_016436,program_sacramento_state,1,58,offered,none,888998,86,False
person_016436,program_oklahoma,2,48,offered,completed,909213,47,False
person_016436,program_ohio_state,3,45,offered,completed,1022289,60,False
person_016436,program_ucla,4,50,not_offered,scheduled,1051581,64,True
person_016436,program_umass,5,43,offered,scheduled,730961,9,False
person_016437,program_mississippi_state,1,64,not_offered,completed,92663,55,False
person_016437,program_wisconsin,2,47,not_offered,none,105044,68,False
person_016437,program_tcu,3,67,offered,completed,245607,60,False
person_016437,program_washington,4,37,offered,completed,97531,18,False
person_016437,program_auburn,5,21,offered,completed,200226,36,False
person_016438,program_maryland,1,46,offered,completed,4755679,47,False
person_016438,program_oregon_state,2,82,offered,scheduled,5701444,69,False
person_016438,program_central_michigan,3,71,not_offered,completed,5591610,70,False
person_016438,program_army,4,37,offered,scheduled,5531475,6,False
person_016438,program_virginia_tech,5,34,offered,completed,2645085,44,False
person_016439,program_middle_tennessee,1,61,offered,completed,1016708,54,False
person_016439,program_umass,2,51,not_offered,completed,775228,48,False
person_016439,program_miami_fl,3,43,not_offered,scheduled,1431738,15,False
person_016439,program_san_diego_state,4,33,not_offered,none,709996,11,False
person_016439,program_ball_state,5,14,offered,scheduled,1095250,1,False
person_016440,program_alabama,1,53,not_offered,none,1021039,61,False
person_016440,program_nc_state,2,40,offered,scheduled,580469,57,False
person_016440,program_georgia_southern,3,29,not_offered,none,728538,16,False
person_016440,program_fresno_state,4,34,not_offered,scheduled,1374833,43,False
person_016440,program_rutgers,5,35,offered,none,1385918,20,False
person_016441,program_pittsburgh,1,79,offered,none,1837916,91,False
person_016441,program_south_alabama,2,16,not_offered,completed,746055,12,False
person_016441,program_memphis,3,63,not_offered,none,1309743,83,False
person_016441,program_usf,4,14,offered,completed,1773175,1,False
person_016441,program_jacksonville_state,5,48,offered,none,986799,29,False
person_016442,program_louisiana,1,52,offered,completed,1190589,81,False
person_016442,program_ucf,2,43,offered,completed,578191,54,False
person_016442,program_arkansas,3,41,not_offered,completed,1003184,50,False
person_016442,program_virginia,4,42,offered,completed,876611,43,False
person_016442,program_washington,5,56,offered,none,475840,58,False
person_016443,program_uconn,1,77,offered,scheduled,1325399,85,False
person_016443,program_syracuse,2,35,offered,none,1057826,29,False
person_016443,program_oregon,3,57,not_offered,scheduled,910562,61,False
person_016443,program_east_carolina,4,33,not_offered,none,1110330,16,False
person_016443,program_virginia,5,54,not_offered,none,992016,56,False
person_016444,program_purdue,1,58,offered,scheduled,850076,54,False
person_016444,program_washington_state,2,49,offered,none,470335,41,False
person_016444,program_boston_college,3,55,offered,none,796706,67,False
person_016444,program_hawaii,4,45,not_offered,completed,374825,42,False
person_016444,program_tulane,5,59,not_offered,none,735816,53,False
person_016445,program_jacksonville_state,1,69,offered,scheduled,318132,71,False
person_016445,program_marshall,2,35,not_offered,scheduled,359200,22,False
person_016445,program_kentucky,3,36,not_offered,none,328910,27,False
person_016445,program_southern_miss,4,27,offered,none,332337,19,False
person_016445,program_washington_state,5,14,offered,none,241170,24,False
person_016446,program_south_carolina,1,74,offered,scheduled,1315985,65,False
person_016446,program_utsa,2,35,not_offered,completed,600168,40,False
person_016446,program_tulsa,3,26,offered,scheduled,888569,28,False
person_016446,program_byu,4,25,not_offered,none,1149887,20,False
person_016446,program_georgia,5,41,offered,completed,1324987,62,False
person_016447,program_ohio_state,1,65,offered,completed,3520645,70,False
person_016447,program_akron,2,75,offered,none,2466384,75,False
person_016447,program_duke,3,46,offered,none,1800816,37,False
person_016447,program_mississippi_state,4,36,offered,completed,4917734,10,False
person_016447,program_missouri_state,5,15,offered,scheduled,3015670,11,False
person_016448,program_ucf,1,59,offered,scheduled,1464962,54,False
person_016448,program_kennesaw_state,2,56,not_offered,completed,1432550,61,False
person_016448,program_jacksonville_state,3,18,not_offered,scheduled,1024902,1,False
person_016448,program_northern_illinois,4,56,offered,none,1456162,45,False
person_016448,program_louisville,5,30,offered,scheduled,963916,26,False
person_016449,program_new_mexico,1,24,offered,none,422944,34,False
person_016449,program_marshall,2,45,offered,none,629314,40,False
person_016449,program_kent_state,3,40,offered,scheduled,453327,43,False
person_016449,program_purdue,4,45,not_offered,completed,340759,25,False
person_016449,program_middle_tennessee,5,22,offered,none,341150,29,False
person_016450,program_ole_miss,1,59,offered,none,291441,69,False
person_016450,program_minnesota,2,46,not_offered,none,450576,37,False
person_016450,program_indiana,3,51,offered,completed,306252,49,False
person_016450,program_james_madison,4,29,offered,completed,215646,32,False
person_016450,program_auburn,5,41,offered,completed,505830,22,False
person_016451,program_mississippi_state,1,62,offered,completed,435398,64,False
person_016451,program_clemson,2,60,not_offered,scheduled,365834,64,False
person_016451,program_oklahoma,3,73,offered,none,683256,59,False
person_016451,program_nebraska,4,25,not_offered,scheduled,289736,26,False
person_016451,program_north_texas,5,39,not_offered,completed,393803,31,False
person_016452,program_kent_state,1,60,offered,scheduled,936653,60,False
person_016452,program_syracuse,2,43,offered,completed,492752,40,False
person_016452,program_florida_atlantic,3,18,not_offered,scheduled,926430,4,False
