uniformId,schoolId,setName,helmetModel,helmetShellColor,facemaskColor,stripeStyle,stripeColor,jerseyBaseColor,numberColor,wordmark,sleeveStripe,pantsColor,pantsStripe,socksColor,glovesColor,cleatsColor
uniform_boston_college_home,school_boston_college,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,BC,triple,white,team.accent,team.primary,team.secondary,black
uniform_boston_college_away,school_boston_college,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,BC,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_boston_college_alternate_1,school_boston_college,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,BC,none,black,team.accent,team.primary,team.secondary,black
uniform_boston_college_alternate_2,school_boston_college,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,BC,none,black,team.accent,team.primary,team.secondary,black
uniform_boston_college_rivalry,school_boston_college,Rivalry,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,BC,none,black,team.accent,team.primary,team.secondary,black
uniform_california_home,school_california,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,CAL,triple,black,team.accent,team.primary,team.secondary,black
uniform_california_away,school_california,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,CAL,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_california_alternate_1,school_california,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,CAL,triple,black,team.accent,team.primary,team.secondary,black
uniform_california_alternate_2,school_california,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,CAL,triple,white,team.accent,team.primary,team.secondary,black
uniform_california_rivalry,school_california,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,CAL,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_clemson_home,school_clemson,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,CLEM,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_clemson_away,school_clemson,Away,SpeedFlex,team.secondary,team.primary,none,team.accent,team.secondary,team.secondary,CLEM,none,white,team.accent,team.primary,team.secondary,black
uniform_clemson_alternate_1,school_clemson,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,CLEM,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_clemson_alternate_2,school_clemson,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,CLEM,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_clemson_rivalry,school_clemson,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,CLEM,none,black,team.accent,team.primary,team.secondary,black
uniform_duke_home,school_duke,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,DUKE,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_duke_away,school_duke,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,DUKE,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_duke_alternate_1,school_duke,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,DUKE,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_duke_alternate_2,school_duke,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,DUKE,none,white,team.accent,team.primary,team.secondary,black
