Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Simulation,play id,Play Id,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Simulation,drive id,Drive Id,string,,spec-only,ai-pack/CFB_FM_STATS_ENGINE_PACK/CFB_FM_STATS_ENGINE_PACK/08_AI_BUILD_PACKETS_STATS_ENGINE.md,73,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,down,Down,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,806,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,distance,Distance,string,0.55,existing-code,app.js,305,,,,,Referenced in active JS/runtime/harness code.,,,Yes,Yes,,Review/approve field,pending-review
Simulation,field position,Field Position,string,,spec-only,ai-pack/CFB_FM_AI_EXECUTION_PLAN_TOKEN_BASED.md,1176,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,hash,Hash,string,,spec-only,ai-pack/CFB_FM_BUILD_SUPERPACK/10_LLM_AND_ASSET_PIPELINE_SPEC.md,103,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,clock,Clock,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1274,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,quarter,Quarter,string,,spec-only,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/00_START_HERE_DYNAMIC_IMAGE_GENERATION_PACK.md,11,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,score state,Score State,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/40_NEXT_CORE_BUILD_PACKETS_AND_PROMPTS.md,39,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,personnel,Personnel,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1160,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,formation,Formation,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1215,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,motion,Motion,string,,spec-only,ai-pack/CFB_FM_PLAYER_COMPS_PACK/70_COLLEGE_PLAYER_COMPS_LIBRARY.md,1457,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Simulation,offensive concept,Offensive Concept,string,,spec-only,ai-pack/football_sim_engine_realism_roadmap.md,394,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
