Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Playbook / Scheme,offensive scheme,Offensive Scheme,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/28_PLAY_GENERATOR_AND_GAME_SIM_ENGINE_SPEC.md,337,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,defensive scheme,Defensive Scheme,string,,spec-only,ai-pack/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/CFB_FM_NEXT_CORE_IMPLEMENTATION_SPECS/28_PLAY_GENERATOR_AND_GAME_SIM_ENGINE_SPEC.md,367,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,personnel grouping,Personnel Grouping,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Playbook / Scheme,formation,Formation,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1215,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,concept,Concept,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,1129,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,play tag,Play Tag,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Playbook / Scheme,run/pass/RPO/play-action/screen,Run/Pass/Rpo/Play Action/Screen,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
Playbook / Scheme,strengths,Strengths,array,"['fan mood', 'booster pressure', 'coach hot seats', 'rivalry psychology', 'recruiting momentum', 'media narratives', 'program identity', 'institutional dysfunction']",spec-only,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,weaknesses,Weaknesses,array,"['modern analytics', 'deep play design', 'sports science', 'practice load modeling']",spec-only,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json,JSON traversal,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Playbook / Scheme,required skills,Required Skills,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Review/approve field,pending-review
