Entity,Field Name,Display Label,Data Type,Example Value,Source Status,Source File,Source Line / Location,Required?,Nullable?,Default Value,Enum / Allowed Values,Current Usage,Used On Screens,Editable By User?,Dynamic / Computed?,Persistence Needed?,Notes,Recommendation,Approval Status
Player Rating,throwing,Throwing,string,,spec-only,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/61_CALL_IN_SHOW_PERSONALITY_LIBRARY.md,445,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,decisions,Decisions,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,187,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,anticipation,Anticipation,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1020,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,composure,Composure,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,190,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,concentration,Concentration,string,,spec-only,ai-pack/CFB_FM_BUILD_SUPERPACK/09_SCOPE_NOTES_COMPILER.md,97,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,technique,Technique,string,,spec-only,ai-pack/24_TRAIT_ARCHETYPES_CREATORS_AND_ADVANCED_IDENTITY_SYSTEMS.md,104,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,vision,Vision,string,,spec-only,ai-pack/26_FM26_UI_RESEARCH_AND_CFBFM_LAYOUT_SPEC.md,79,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
Player Rating,ballCarrying,Ball Carrying,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,catching,Catching,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,routeRunning,Route Running,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,firstTouch,First Touch,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,passBlocking,Pass Blocking,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,runBlocking,Run Blocking,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,passRush,Pass Rush,,,missing-but-needed,,,,,,,,,,,TBD,Not found as a current field in scanned code/data; included from requested inventory scope or implied game concept.,Recommended future review item,pending-review
Player Rating,tackling,Tackling,string,,spec-only,ai-pack/CFB_FM_CORE_SYSTEMS_BLOWOUT.md,1129,,,,,Present in docs/spec/stub pack.,,,,TBD,,Review/approve field,pending-review
